fecha,Enfermedades del sistema circulatorio ,COVID-19,Causas externas de morbilidad y de mortalidad,Tumores [Neoplasias],Enfermedades del sistema nervioso central,Trastornos mentales y del comportamiento,"Enfermedades endocrinas, nutricionales y metabÃ³licas","SÃ­ntomas, signos y hallazgos anormales clÃ­nicos y de laboratorio, no clasificados en otra parte",Enfermedades del sistema digestivo,Enfermedades del sistema respiratorio ,Ciertas enfermedades infecciosas y parasitarias,Enfermedades del sistema genitourinario,"Enfermedades de la sangre y de los Ã³rganos hematopoyÃ©ticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades de la piel y del tejido subcutÃ¡neo,"Malformaciones congÃ©nitas, deformidades y anomalÃ­as cromosÃ³micas",Enfermedades del ojo y sus anexos ,Ciertas afecciones originadas en el perÃ­odo perinatal,"Embarazo, parto y puerperio",nan,Enfermedades del oÃ­do y de la apÃ³fisis mastoides,CÃ³digos para propÃ³sitos especiales
2016-02-22,40,0,7,29,5,2,5,2,6,11,2,0,0,2,1,0,0,3,1,0,0,0
2016-02-23,22,0,8,29,1,0,8,4,6,7,0,3,0,2,0,1,0,2,0,0,0,0
2016-02-24,32,0,7,24,4,5,4,3,13,8,2,8,0,0,1,1,0,0,0,0,0,0
2016-02-25,25,0,8,34,3,2,8,2,7,5,1,5,0,0,0,1,0,0,0,0,0,0
2016-02-26,31,0,10,23,3,2,6,2,12,5,0,1,1,1,0,1,0,1,0,0,0,0
2016-02-27,24,0,6,24,1,2,3,7,9,8,3,3,1,1,0,2,0,0,0,0,0,0
2016-02-28,24,0,3,25,2,3,5,1,5,8,3,3,1,2,0,1,0,1,0,0,0,0
2016-02-29,29,0,8,27,5,0,3,0,5,9,0,4,0,1,1,2,0,1,0,0,0,0
2016-03-01,25,0,15,27,6,2,4,4,10,7,3,3,0,1,0,1,0,0,1,0,0,0
2016-03-02,24,0,12,28,8,3,0,0,10,11,0,4,1,0,1,0,0,2,0,0,0,0
2016-03-03,24,0,7,35,3,2,1,3,9,1,2,4,0,0,1,0,0,0,1,0,0,0
2016-03-04,25,0,6,21,4,2,6,1,7,7,2,4,0,3,0,3,0,4,0,0,0,0
2016-03-05,25,0,8,26,4,2,6,0,12,5,2,0,0,1,1,1,0,0,0,0,0,0
2016-03-06,18,0,7,22,1,1,8,2,8,3,2,6,0,0,0,0,0,0,0,0,0,0
2016-03-07,28,0,11,25,7,2,6,1,3,8,3,4,0,0,0,2,0,1,0,0,0,0
2016-03-08,20,0,8,20,4,3,8,3,7,3,1,2,1,0,0,1,0,0,0,0,0,0
2016-03-09,30,0,7,27,6,3,10,0,4,12,1,5,1,0,0,1,0,0,0,0,0,0
2016-03-10,28,0,11,28,8,4,8,3,8,9,1,6,0,2,0,1,0,0,0,0,0,0
2016-03-11,25,0,3,37,3,1,5,1,12,6,0,3,0,0,0,2,0,0,0,0,0,0
2016-03-12,15,0,9,25,2,2,2,2,4,7,0,2,1,1,0,1,0,0,0,0,0,0
2016-03-13,27,0,14,15,5,0,7,2,5,8,0,3,0,1,0,0,0,1,0,0,0,0
2016-03-14,20,0,6,23,6,4,2,2,5,10,3,2,1,1,0,0,0,0,0,0,0,0
2016-03-15,25,0,3,29,4,1,5,3,8,11,2,3,0,0,2,0,0,3,0,0,0,0
2016-03-16,28,0,4,37,4,0,5,1,11,8,2,3,0,1,0,0,0,3,0,0,0,0
2016-03-17,19,0,7,28,6,2,8,5,9,8,3,0,0,0,0,2,0,2,0,0,0,0
2016-03-18,26,0,5,21,4,2,6,1,8,6,0,1,0,1,0,1,0,0,0,0,0,0
2016-03-19,23,0,3,22,4,1,2,1,10,5,3,2,0,0,0,0,0,0,0,0,0,0
2016-03-20,32,0,6,30,3,3,8,1,4,3,4,5,1,1,0,1,0,0,0,0,0,0
2016-03-21,19,0,6,22,3,3,7,2,7,7,1,1,0,0,0,2,0,0,0,0,0,0
2016-03-22,34,0,11,25,2,4,6,0,5,8,1,2,1,1,1,3,0,0,0,0,0,0
2016-03-23,24,0,6,29,3,3,4,2,5,6,3,4,0,1,1,3,0,2,0,0,0,0
2016-03-24,27,0,2,31,4,2,2,2,12,2,3,2,0,0,1,1,0,0,0,0,0,0
2016-03-25,29,0,10,23,6,0,3,3,7,10,2,2,1,0,0,1,0,0,0,0,0,0
2016-03-26,21,0,7,31,4,3,4,3,6,9,1,0,2,0,0,0,0,0,1,0,0,0
2016-03-27,27,0,5,29,5,1,6,2,4,8,2,3,1,0,0,0,0,2,0,0,0,0
2016-03-28,29,0,6,30,4,0,5,4,6,8,4,3,0,1,0,1,0,2,0,0,0,0
2016-03-29,27,0,6,32,0,0,6,2,7,14,4,3,0,0,0,2,0,0,0,0,0,0
2016-03-30,18,0,2,24,4,2,6,1,10,10,1,3,1,2,0,4,0,0,0,0,0,0
2016-03-31,31,0,6,16,3,1,6,0,3,8,3,4,0,1,0,3,0,0,0,0,0,0
2016-04-01,15,0,6,26,1,3,5,5,7,6,2,3,0,0,1,0,0,2,0,0,0,0
