fecha,Enfermedades del sistema circulatorio ,Tumores [Neoplasias],Ciertas enfermedades infecciosas y parasitarias,"Enfermedades endocrinas, nutricionales y metabólicas",Enfermedades del sistema respiratorio ,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Causas externas de morbilidad y de mortalidad,Enfermedades del sistema digestivo,Trastornos mentales y del comportamiento,COVID-19,Enfermedades del sistema nervioso central,Enfermedades del sistema genitourinario,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ","Malformaciones congénitas, deformidades y anomalías cromosómicas",Enfermedades de la piel y del tejido subcutáneo,Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades del oído y de la apófisis mastoides,Enfermedades del ojo y sus anexos ,Ciertas afecciones originadas en el período perinatal,"Embarazo, parto y puerperio"
2020-02-28,21,29,2,7,10,5,8,12,0,0,2,7,1,1,0,0,0,0,0,0
2020-02-29,29,21,3,4,13,7,7,2,3,0,6,8,0,0,1,1,1,0,0,1
2020-03-01,19,26,1,2,14,2,10,4,3,0,5,5,0,1,3,0,0,0,0,0
2020-03-02,19,24,2,4,11,6,9,5,3,0,3,2,1,0,0,2,0,0,1,0
2020-03-03,29,24,0,1,13,3,3,9,1,0,5,2,0,4,0,1,0,0,0,0
2020-03-04,22,33,5,6,21,4,8,11,2,0,1,1,0,0,0,0,0,0,1,0
2020-03-05,25,30,2,5,17,6,5,8,1,0,5,2,1,1,0,0,0,0,0,0
2020-03-06,22,32,3,2,20,5,5,6,0,0,2,9,0,0,0,0,0,0,0,0
2020-03-07,26,21,1,5,8,2,12,6,1,0,2,1,1,1,0,1,0,0,1,0
2020-03-08,18,30,1,6,15,6,2,10,3,0,8,2,0,1,2,0,0,0,3,0
2020-03-09,26,17,3,2,13,5,12,8,4,0,3,6,1,1,1,1,0,0,0,0
2020-03-10,21,27,4,4,21,3,10,7,0,0,8,5,1,0,0,0,0,0,0,0
2020-03-11,21,21,2,4,15,4,7,12,3,0,8,4,1,0,1,2,0,0,1,0
2020-03-12,18,22,1,3,11,9,13,3,2,0,4,3,0,0,2,0,0,0,0,1
2020-03-13,20,35,4,4,17,3,5,11,2,0,4,5,0,0,2,0,0,0,1,0
2020-03-14,22,27,2,2,8,4,6,9,2,0,6,3,2,0,1,0,0,0,1,0
2020-03-15,18,19,4,3,8,6,14,4,2,1,0,3,0,0,2,0,0,0,0,0
2020-03-16,22,17,4,3,12,3,7,6,3,1,3,3,1,0,2,1,0,0,1,0
2020-03-17,24,32,3,4,12,3,8,14,1,0,2,4,1,0,1,2,0,0,1,0
2020-03-18,27,28,0,5,11,8,9,11,3,0,1,3,0,0,1,0,0,0,0,0
2020-03-19,24,29,2,2,12,7,6,11,1,1,2,4,3,3,1,0,0,0,0,0
2020-03-20,26,21,2,4,20,4,3,10,2,2,5,3,2,1,1,1,0,0,1,0
2020-03-21,24,30,4,4,12,7,6,8,2,2,5,9,0,1,1,0,0,0,0,0
2020-03-22,26,24,3,3,16,2,8,8,4,1,1,5,2,1,1,0,0,0,0,0
2020-03-23,21,29,3,4,9,3,7,6,2,1,6,5,1,1,0,0,0,0,1,0
2020-03-24,30,23,3,4,12,2,11,7,0,2,5,4,1,0,0,2,0,0,3,0
2020-03-25,27,20,3,5,16,2,6,11,4,1,2,3,0,0,1,0,0,0,2,0
2020-03-26,32,25,2,3,14,9,6,8,0,1,0,3,0,1,0,0,0,0,0,0
2020-03-27,25,24,3,2,21,2,6,12,2,3,1,2,0,0,4,0,0,0,0,0
2020-03-28,17,32,0,1,15,4,7,6,2,2,2,1,0,1,0,0,0,0,1,0
2020-03-29,23,36,3,5,6,2,6,9,2,1,2,4,4,0,0,0,0,0,1,0
2020-03-30,30,24,2,2,18,8,6,12,1,3,6,2,1,0,0,0,0,0,2,0
2020-03-31,16,26,1,4,14,3,4,8,1,2,3,4,0,2,2,0,0,0,1,0
2020-04-01,31,36,3,2,11,4,10,8,1,4,3,5,0,1,0,1,0,0,0,0
2020-04-02,24,23,4,2,15,3,7,9,4,6,2,3,0,1,1,0,0,0,0,0
2020-04-03,22,27,0,3,20,7,9,9,1,5,5,5,0,2,2,0,0,0,2,0
2020-04-04,29,19,2,3,22,3,7,7,2,5,5,4,1,1,0,1,0,0,0,0
2020-04-05,30,26,3,6,16,1,4,7,1,3,5,3,0,1,0,0,0,0,0,0
2020-04-06,23,32,4,3,15,3,8,7,2,4,2,3,1,1,0,1,0,0,1,0
2020-04-07,29,36,0,4,7,3,11,13,2,6,3,3,0,1,2,0,0,0,0,0
2020-04-08,29,25,1,1,8,5,6,12,1,11,6,6,1,4,1,0,0,0,0,0
2020-04-09,29,22,1,3,12,2,6,9,3,8,2,3,0,0,1,0,0,0,0,0
2020-04-10,29,14,7,3,16,3,8,8,3,7,5,7,0,2,0,1,0,0,0,0
2020-04-11,26,23,2,2,16,5,7,4,1,5,3,5,0,0,0,0,0,0,1,0
2020-04-12,30,26,1,4,17,3,3,16,0,3,2,0,0,0,1,0,0,0,0,0
2020-04-13,31,20,4,3,8,3,5,12,0,6,3,2,1,0,0,1,0,0,1,0
2020-04-14,22,29,3,3,14,5,5,4,3,5,5,0,0,1,1,2,0,0,1,0
2020-04-15,28,26,2,1,11,1,5,11,4,10,2,5,0,2,0,0,0,0,4,0
2020-04-16,18,24,4,1,19,6,6,10,1,2,2,3,2,2,0,1,0,0,0,0
2020-04-17,28,21,2,4,13,10,3,7,2,7,3,5,1,0,2,0,0,0,0,0
2020-04-18,29,21,2,6,15,7,5,8,4,8,1,6,2,0,1,0,0,0,1,0
2020-04-19,24,30,1,4,15,5,12,7,2,11,2,3,0,0,0,0,0,0,0,0
2020-04-20,29,27,3,0,15,4,9,9,1,8,2,3,0,1,0,0,0,0,0,0
2020-04-21,38,38,0,5,11,1,2,13,1,10,3,5,0,2,0,0,0,0,1,0
2020-04-22,21,21,0,1,15,4,8,11,3,8,2,4,1,0,0,0,0,0,0,0
2020-04-23,22,33,3,0,15,4,4,9,2,7,3,6,0,0,1,2,0,0,0,0
2020-04-24,27,37,2,6,12,5,12,6,2,8,2,1,0,0,0,0,0,0,3,0
2020-04-25,28,23,1,1,16,2,8,8,1,8,6,2,1,0,1,1,0,0,0,0
2020-04-26,14,30,0,9,11,6,10,7,3,8,5,6,0,0,0,1,0,0,0,0
2020-04-27,33,36,1,3,19,7,6,5,4,15,1,4,1,0,0,0,0,0,0,0
2020-04-28,21,24,2,10,8,2,7,6,2,10,2,5,0,0,0,0,0,0,1,0
2020-04-29,22,22,2,2,8,6,5,9,0,7,2,2,0,0,0,0,0,0,0,0
2020-04-30,28,32,3,6,10,6,6,4,0,10,2,2,0,0,3,0,0,0,1,0
2020-05-01,26,30,3,8,6,5,8,5,1,12,1,4,1,0,1,0,0,0,1,1
2020-05-02,35,24,2,3,4,1,6,9,0,15,3,5,1,0,0,1,0,0,0,0
2020-05-03,28,25,3,3,6,5,7,6,4,18,2,2,2,1,2,0,0,0,0,0
2020-05-04,35,27,3,5,12,6,12,7,5,14,1,5,1,0,0,1,0,0,1,0
2020-05-05,34,34,4,4,11,5,10,6,4,13,4,5,1,0,1,0,0,0,0,0
2020-05-06,30,29,5,2,17,1,8,6,3,21,2,6,0,0,1,0,0,1,0,1
2020-05-07,32,40,3,2,10,4,13,11,3,28,2,5,1,1,0,0,0,0,0,0
2020-05-08,26,28,7,4,9,3,6,14,2,23,4,5,0,0,0,1,0,0,0,0
2020-05-09,26,30,1,2,7,4,7,9,5,39,9,6,3,0,0,0,0,0,1,0
2020-05-10,24,27,2,2,21,7,8,8,2,31,3,1,1,0,0,1,0,0,1,0
2020-05-11,19,25,0,5,11,7,7,9,2,25,4,7,0,0,0,1,0,0,1,0
2020-05-12,29,30,2,4,10,3,5,7,2,35,4,6,2,0,1,0,0,0,1,0
2020-05-13,26,32,1,10,9,6,7,12,3,49,0,1,0,0,3,0,0,0,1,0
2020-05-14,33,27,2,6,18,6,7,13,4,50,3,1,0,0,1,0,0,0,0,0
2020-05-15,31,25,1,7,10,8,12,12,1,43,3,6,1,0,0,2,0,0,0,0
2020-05-16,30,21,0,10,17,9,6,12,2,67,2,4,0,0,0,0,0,0,0,0
2020-05-17,36,37,3,1,18,3,9,5,2,63,2,0,2,0,0,1,0,0,0,0
2020-05-18,32,19,0,5,9,5,5,10,4,83,3,4,0,0,4,1,0,0,1,0
2020-05-19,37,28,1,9,14,6,7,10,3,78,2,7,0,0,1,1,0,0,1,0
2020-05-20,36,29,1,2,18,5,7,6,2,90,4,5,3,1,0,1,0,0,0,1
2020-05-21,45,27,2,7,12,7,7,4,5,96,3,5,0,0,0,0,0,0,2,0
2020-05-22,36,27,2,5,17,8,5,4,4,96,3,4,2,2,4,1,0,0,2,0
2020-05-23,31,22,3,7,20,9,12,6,7,124,4,4,0,1,0,0,0,0,2,0
2020-05-24,37,30,1,8,17,7,8,14,1,146,4,2,1,1,1,0,0,0,1,0
2020-05-25,43,26,2,6,11,10,9,12,7,128,8,5,0,0,0,0,0,0,0,0
2020-05-26,41,26,1,6,17,8,11,4,3,146,4,4,0,0,1,0,0,0,1,0
2020-05-27,27,22,1,16,25,9,13,13,2,165,3,4,1,1,0,0,0,0,0,0
2020-05-28,29,32,3,2,17,4,6,7,6,146,4,4,0,0,1,0,0,0,2,0
2020-05-29,47,29,0,6,17,6,10,6,3,159,4,7,0,2,1,1,0,0,0,0
2020-05-30,35,22,3,12,16,8,8,4,2,171,3,3,1,1,0,1,0,0,1,0
2020-05-31,46,24,3,6,7,8,8,8,4,165,1,3,0,1,2,0,0,0,0,0
2020-06-01,48,22,5,10,23,10,4,11,4,190,3,5,1,1,1,0,0,0,0,0
2020-06-02,36,32,1,8,24,5,10,3,1,180,4,5,1,0,2,2,0,0,1,0
2020-06-03,37,29,3,10,13,6,8,6,2,200,3,8,0,0,4,0,0,0,0,0
2020-06-04,37,24,6,5,12,11,9,10,4,179,5,5,0,0,0,1,0,0,0,0
2020-06-05,47,23,1,6,12,5,5,9,4,195,5,3,1,0,1,1,0,0,1,0
2020-06-06,46,27,2,9,16,11,5,8,2,216,3,7,1,1,3,2,0,0,1,0
2020-06-07,58,21,1,5,14,12,8,5,1,197,4,1,2,0,1,0,0,0,0,0
2020-06-08,38,21,6,7,9,6,6,6,1,187,3,6,0,0,1,2,0,0,0,0
2020-06-09,42,24,1,14,18,14,5,3,3,224,1,10,1,1,0,1,0,0,1,1
2020-06-10,40,26,1,9,19,8,9,6,4,207,5,3,2,0,1,1,0,0,1,0
2020-06-11,44,24,2,7,16,9,11,6,6,212,7,2,0,0,1,0,0,0,0,0
2020-06-12,48,24,3,8,15,9,6,8,3,187,3,9,0,0,1,0,0,0,0,0
2020-06-13,43,24,0,6,8,11,5,5,2,220,4,4,0,1,2,0,0,0,0,0
2020-06-14,44,28,4,11,20,8,3,11,5,181,2,6,2,0,3,0,0,0,0,0
