fecha,Causas externas de morbilidad y de mortalidad,COVID-19,Tumores [Neoplasias],"Enfermedades endocrinas, nutricionales y metabólicas",Enfermedades del sistema circulatorio ,Enfermedades del sistema genitourinario,Enfermedades del sistema respiratorio ,Trastornos mentales y del comportamiento,Ciertas enfermedades infecciosas y parasitarias,Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades del sistema nervioso central,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Enfermedades del sistema digestivo,Enfermedades de la piel y del tejido subcutáneo,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ","Malformaciones congénitas, deformidades y anomalías cromosómicas","Embarazo, parto y puerperio",Ciertas afecciones originadas en el período perinatal,Enfermedades del ojo y sus anexos ,Enfermedades del oído y de la apófisis mastoides,Códigos para propósitos especiales
2016-02-26,10,0,23,6,31,1,5,2,0,1,3,2,12,0,1,1,0,1,0,0,0
2016-02-27,6,0,24,3,24,3,8,2,3,1,1,7,9,0,1,2,0,0,0,0,0
2016-02-28,3,0,25,5,24,3,8,3,3,2,2,1,5,0,1,1,0,1,0,0,0
2016-02-29,8,0,27,3,29,4,9,0,0,1,5,0,5,1,0,2,0,1,0,0,0
2016-03-01,15,0,27,4,25,3,7,2,3,1,6,4,10,0,0,1,1,0,0,0,0
2016-03-02,12,0,28,0,24,4,11,3,0,0,8,0,10,1,1,0,0,2,0,0,0
2016-03-03,7,0,35,1,24,4,1,2,2,0,3,3,9,1,0,0,1,0,0,0,0
2016-03-04,6,0,21,6,25,4,7,2,2,3,4,1,7,0,0,3,0,4,0,0,0
2016-03-05,8,0,26,6,25,0,5,2,2,1,4,0,12,1,0,1,0,0,0,0,0
2016-03-06,7,0,22,8,18,6,3,1,2,0,1,2,8,0,0,0,0,0,0,0,0
2016-03-07,11,0,25,6,28,4,8,2,3,0,7,1,3,0,0,2,0,1,0,0,0
2016-03-08,8,0,20,8,20,2,3,3,1,0,4,3,7,0,1,1,0,0,0,0,0
2016-03-09,7,0,27,10,30,5,12,3,1,0,6,0,4,0,1,1,0,0,0,0,0
2016-03-10,11,0,28,8,28,6,9,4,1,2,8,3,8,0,0,1,0,0,0,0,0
2016-03-11,3,0,37,5,25,3,6,1,0,0,3,1,12,0,0,2,0,0,0,0,0
2016-03-12,9,0,25,2,15,2,7,2,0,1,2,2,4,0,1,1,0,0,0,0,0
2016-03-13,14,0,15,7,27,3,8,0,0,1,5,2,5,0,0,0,0,1,0,0,0
2016-03-14,6,0,23,2,20,2,10,4,3,1,6,2,5,0,1,0,0,0,0,0,0
2016-03-15,3,0,29,5,25,3,11,1,2,0,4,3,8,2,0,0,0,3,0,0,0
2016-03-16,4,0,37,5,28,3,8,0,2,1,4,1,11,0,0,0,0,3,0,0,0
2016-03-17,7,0,28,8,19,0,8,2,3,0,6,5,9,0,0,2,0,2,0,0,0
2016-03-18,5,0,21,6,26,1,6,2,0,1,4,1,8,0,0,1,0,0,0,0,0
2016-03-19,3,0,22,2,23,2,5,1,3,0,4,1,10,0,0,0,0,0,0,0,0
2016-03-20,6,0,30,8,32,5,3,3,4,1,3,1,4,0,1,1,0,0,0,0,0
2016-03-21,6,0,22,7,19,1,7,3,1,0,3,2,7,0,0,2,0,0,0,0,0
2016-03-22,11,0,25,6,34,2,8,4,1,1,2,0,5,1,1,3,0,0,0,0,0
2016-03-23,6,0,29,4,24,4,6,3,3,1,3,2,5,1,0,3,0,2,0,0,0
2016-03-24,2,0,31,2,27,2,2,2,3,0,4,2,12,1,0,1,0,0,0,0,0
2016-03-25,10,0,23,3,29,2,10,0,2,0,6,3,7,0,1,1,0,0,0,0,0
2016-03-26,7,0,31,4,21,0,9,3,1,0,4,3,6,0,2,0,1,0,0,0,0
2016-03-27,5,0,29,6,27,3,8,1,2,0,5,2,4,0,1,0,0,2,0,0,0
2016-03-28,6,0,30,5,29,3,8,0,4,1,4,4,6,0,0,1,0,2,0,0,0
2016-03-29,6,0,32,6,27,3,14,0,4,0,0,2,7,0,0,2,0,0,0,0,0
2016-03-30,2,0,24,6,18,3,10,2,1,2,4,1,10,0,1,4,0,0,0,0,0
2016-03-31,6,0,16,6,31,4,8,1,3,1,3,0,3,0,0,3,0,0,0,0,0
2016-04-01,6,0,26,5,15,3,6,3,2,0,1,5,7,1,0,0,0,2,0,0,0
2016-04-02,7,0,28,6,30,1,12,2,1,1,2,2,4,1,0,0,0,2,0,0,0
2016-04-03,7,0,21,5,29,4,13,0,2,0,4,1,8,1,0,2,0,0,0,0,0
2016-04-04,2,0,21,7,22,3,14,3,3,1,4,3,10,0,1,2,1,1,0,0,0
2016-04-05,7,0,27,4,19,1,6,1,3,0,2,0,9,0,1,0,0,1,0,0,0
2016-04-06,5,0,21,4,28,2,12,1,3,0,0,5,7,0,1,1,0,3,0,0,0
2016-04-07,5,0,29,4,29,2,8,2,1,0,2,6,8,0,1,1,0,0,0,0,0
2016-04-08,6,0,36,9,30,2,9,2,2,1,2,0,5,0,0,2,0,0,0,0,0
2016-04-09,6,0,16,5,24,2,9,1,5,1,5,3,12,1,0,1,0,0,0,0,0
2016-04-10,6,0,25,8,23,7,8,1,3,1,4,2,8,1,0,0,0,0,0,0,0
2016-04-11,5,0,26,3,42,3,7,0,1,1,3,6,10,0,1,1,0,1,0,0,0
2016-04-12,5,0,34,6,30,8,7,1,2,1,2,0,13,0,0,0,0,1,0,0,0
2016-04-13,4,0,37,5,25,5,6,1,0,1,1,6,6,0,0,2,0,1,0,0,0
2016-04-14,5,0,25,6,27,2,7,1,3,0,1,4,9,0,0,3,0,1,0,0,0
2016-04-15,4,0,29,3,24,3,13,1,4,2,4,1,13,0,1,3,0,0,0,0,0
2016-04-16,6,0,31,5,45,5,17,2,1,1,2,4,7,0,1,2,0,1,0,0,0
2016-04-17,6,0,38,6,32,3,4,1,2,1,3,4,10,1,0,1,0,1,0,0,0
2016-04-18,12,0,23,9,37,4,8,3,3,0,3,4,4,0,1,1,0,1,0,0,0
2016-04-19,4,0,34,8,27,2,12,2,1,2,4,2,6,0,0,1,0,0,0,0,0
2016-04-20,6,0,25,3,31,0,7,4,0,0,4,4,7,1,0,1,0,0,0,0,0
2016-04-21,2,0,25,2,37,4,10,3,2,0,7,5,5,0,0,2,0,2,0,0,0
2016-04-22,4,0,27,5,33,7,13,0,1,2,4,4,10,1,2,2,0,1,0,0,0
2016-04-23,7,0,25,7,25,5,13,3,1,0,2,1,5,0,0,4,0,1,0,0,0
2016-04-24,8,0,21,6,32,2,7,0,4,0,4,2,8,2,3,0,0,1,0,0,0
2016-04-25,8,0,29,7,40,3,20,3,2,0,2,1,8,1,0,2,0,0,0,0,0
2016-04-26,8,0,31,5,42,1,15,4,1,0,1,1,9,2,2,2,0,3,0,0,0
2016-04-27,7,0,25,5,28,1,12,4,3,0,2,1,9,3,0,1,0,1,0,0,0
2016-04-28,5,0,38,6,21,2,12,0,2,0,4,2,9,0,1,1,1,1,0,0,0
