fecha,Causas externas de morbilidad y de mortalidad,COVID-19,Tumores [Neoplasias],"Enfermedades endocrinas, nutricionales y metabólicas",Enfermedades del sistema circulatorio ,Enfermedades del sistema genitourinario,Enfermedades del sistema respiratorio ,Trastornos mentales y del comportamiento,Ciertas enfermedades infecciosas y parasitarias,Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades del sistema nervioso central,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Enfermedades del sistema digestivo,Enfermedades de la piel y del tejido subcutáneo,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ","Malformaciones congénitas, deformidades y anomalías cromosómicas","Embarazo, parto y puerperio",Ciertas afecciones originadas en el período perinatal,Enfermedades del ojo y sus anexos ,Enfermedades del oído y de la apófisis mastoides,Códigos para propósitos especiales
2016-02-26,23,0,60,13,70,4,13,4,6,2,8,5,26,1,2,1,0,1,0,0,0
2016-02-27,19,0,65,11,76,9,21,5,8,5,10,11,22,0,3,3,0,0,0,0,0
2016-02-28,19,0,68,12,71,8,23,5,7,3,11,5,19,1,1,4,0,2,0,0,0
2016-02-29,18,0,64,8,55,5,21,4,2,1,16,8,21,1,1,3,0,4,0,0,0
2016-03-01,24,0,72,15,81,5,20,5,9,3,15,4,22,0,1,4,1,1,0,0,0
2016-03-02,19,0,69,8,58,7,26,4,2,2,12,6,21,2,2,1,0,2,0,0,0
2016-03-03,15,0,81,9,67,12,9,5,5,0,9,6,26,2,0,0,1,1,0,0,0
2016-03-04,15,0,68,15,67,12,16,5,4,3,6,6,23,1,1,4,0,4,0,0,0
2016-03-05,17,0,79,17,64,7,22,6,10,2,10,1,29,2,0,1,0,3,0,0,0
2016-03-06,28,0,60,19,56,13,16,3,4,0,2,5,25,0,0,3,0,1,0,0,0
2016-03-07,27,0,63,18,53,14,17,4,5,1,13,6,16,1,0,3,0,1,0,0,0
2016-03-08,19,0,63,17,48,6,16,7,5,1,15,8,24,0,1,2,0,1,0,0,0
2016-03-09,26,0,77,18,69,10,20,5,2,1,14,6,15,0,3,4,0,1,0,0,0
2016-03-10,31,0,82,23,62,13,21,8,3,2,15,6,21,0,0,3,0,1,0,0,0
2016-03-11,20,0,87,11,62,6,18,3,3,1,8,6,28,0,2,2,0,1,0,0,0
2016-03-12,19,0,59,11,61,4,18,3,4,1,4,7,12,0,5,2,0,1,0,0,0
2016-03-13,32,0,62,16,59,8,19,2,5,1,9,7,23,1,0,0,1,3,0,0,0
2016-03-14,17,0,74,10,55,7,22,4,8,2,14,9,20,1,2,0,0,3,0,0,0
2016-03-15,20,0,81,12,58,6,27,4,2,1,11,9,17,5,1,0,0,4,0,0,0
2016-03-16,22,0,83,9,67,10,19,2,5,2,7,3,29,0,0,2,0,4,0,0,0
2016-03-17,24,0,64,18,54,2,23,2,5,2,10,11,24,0,2,2,0,2,0,0,0
2016-03-18,18,0,65,18,72,5,17,8,3,1,11,3,26,0,1,4,0,1,0,0,0
2016-03-19,18,0,85,8,62,8,18,3,7,1,5,5,20,1,0,1,0,0,0,0,0
2016-03-20,17,0,86,16,65,13,11,5,7,3,9,7,17,1,1,1,0,2,0,0,0
2016-03-21,17,0,62,16,74,14,23,6,5,0,14,7,21,0,2,2,0,2,0,0,0
2016-03-22,25,0,52,13,67,9,22,7,7,1,3,4,13,2,2,6,0,2,0,0,0
2016-03-23,14,0,76,10,71,8,13,4,8,2,7,10,11,1,0,5,0,4,0,0,0
2016-03-24,13,0,69,7,75,8,16,4,3,1,11,5,19,1,0,3,1,1,0,0,0
2016-03-25,29,0,70,9,74,6,18,4,2,1,11,13,22,0,2,2,0,3,0,0,0
2016-03-26,16,0,79,10,73,4,24,4,5,1,8,3,24,0,3,0,1,1,0,0,0
2016-03-27,18,0,70,25,66,7,19,3,3,1,8,9,21,0,3,2,0,2,0,0,0
2016-03-28,19,0,71,12,70,10,22,4,9,3,8,11,19,0,0,2,0,2,0,0,0
2016-03-29,14,0,78,13,65,7,23,6,6,2,4,10,20,2,2,3,0,0,0,0,0
2016-03-30,6,0,68,12,54,7,24,4,7,5,10,6,21,0,3,5,2,2,0,0,0
2016-03-31,14,0,61,20,65,7,23,5,8,1,6,7,19,1,1,4,0,0,0,0,0
2016-04-01,24,0,65,12,56,10,18,3,3,2,7,13,14,1,0,2,0,5,0,0,0
2016-04-02,18,0,86,11,67,4,21,5,5,2,5,9,26,3,0,0,0,3,0,0,0
2016-04-03,34,0,54,17,69,7,30,4,5,1,10,6,22,1,0,3,0,0,0,0,0
2016-04-04,16,0,67,14,64,5,25,5,5,2,9,7,24,3,1,2,1,5,0,0,0
2016-04-05,15,0,69,11,69,2,17,4,6,1,6,3,25,0,1,4,0,2,0,0,0
2016-04-06,19,0,64,11,70,8,17,5,8,0,1,9,28,0,1,5,0,3,0,0,0
2016-04-07,11,0,82,16,73,7,19,5,4,0,8,12,28,1,1,3,0,1,0,0,0
2016-04-08,14,0,82,17,76,3,28,3,6,4,8,2,19,0,1,4,0,1,0,0,0
2016-04-09,19,0,54,14,67,8,27,7,5,1,13,6,23,2,1,2,0,0,0,0,0
2016-04-10,16,0,71,13,66,12,19,5,10,2,11,7,28,1,2,1,0,1,0,0,0
2016-04-11,23,0,87,15,84,9,22,1,7,2,11,11,30,1,1,2,0,2,0,0,0
2016-04-12,17,0,87,17,74,15,20,3,5,1,11,8,19,0,2,1,0,3,0,0,0
2016-04-13,24,0,65,17,67,10,17,4,0,1,13,11,17,0,1,3,0,2,0,0,0
2016-04-14,17,0,69,16,70,5,19,3,6,0,3,7,26,1,1,6,0,2,0,0,0
2016-04-15,13,0,81,15,62,10,23,3,9,4,5,7,27,0,3,4,0,2,0,0,0
2016-04-16,21,0,79,14,94,5,25,6,3,1,14,11,19,0,1,2,0,1,0,0,0
2016-04-17,18,0,80,19,75,11,18,4,9,5,12,8,26,1,0,1,0,1,0,0,0
2016-04-18,20,0,56,18,79,10,21,3,6,3,7,6,18,0,2,4,0,2,0,0,0
2016-04-19,16,0,82,16,66,14,27,7,6,4,10,7,19,1,1,2,0,3,0,0,0
2016-04-20,15,0,68,13,80,7,16,8,6,0,11,13,17,1,0,1,0,3,0,0,0
2016-04-21,13,0,75,12,67,9,19,4,5,1,12,7,17,1,0,4,0,2,0,0,0
2016-04-22,26,0,84,14,85,15,24,2,4,2,7,9,18,1,4,5,0,1,0,0,0
2016-04-23,18,0,78,17,80,14,25,5,8,0,7,7,17,0,1,5,0,1,0,0,0
2016-04-24,22,0,68,11,77,8,21,2,11,1,12,4,16,2,3,2,0,2,0,0,0
2016-04-25,20,0,72,17,86,11,31,5,5,1,10,4,27,1,0,5,0,0,0,0,0
2016-04-26,21,0,72,18,91,7,27,5,6,2,10,5,22,4,3,2,0,3,0,0,0
2016-04-27,25,0,76,8,78,4,22,9,7,0,9,8,26,3,0,1,0,1,0,0,0
2016-04-28,12,0,80,17,60,5,35,2,6,1,11,4,19,0,2,1,1,2,0,0,0
2016-04-29,19,0,88,21,84,10,24,7,4,1,4,9,22,1,2,3,0,3,0,0,0
2016-04-30,25,0,71,22,73,9,34,5,7,1,7,9,28,4,1,1,1,1,0,0,0
2016-05-01,22,0,83,8,91,4,22,5,9,2,14,5,16,3,0,1,1,4,1,0,0
2016-05-02,16,0,73,15,68,6,26,14,7,2,5,5,20,1,1,2,0,4,0,0,0
2016-05-03,28,0,94,18,81,10,15,9,9,0,16,9,26,0,2,2,0,2,0,0,0
2016-05-04,14,0,71,11,82,8,14,8,10,0,8,5,22,1,1,1,1,2,0,0,0
2016-05-05,7,0,62,10,71,9,24,5,4,2,11,12,19,3,0,5,1,5,0,0,0
2016-05-06,11,0,79,16,60,12,20,8,4,2,12,9,18,0,2,1,0,0,0,0,0
2016-05-07,25,0,78,10,77,7,13,2,7,1,10,4,18,2,0,0,0,0,0,0,0
2016-05-08,23,0,84,15,67,10,23,7,5,5,8,8,20,1,1,2,0,3,0,0,0
2016-05-09,23,0,66,17,79,10,32,0,6,1,13,7,23,2,1,3,0,1,0,0,0
2016-05-10,24,0,89,20,81,7,26,2,7,1,9,12,22,0,3,1,0,2,0,0,0
2016-05-11,17,0,80,14,61,8,19,4,5,1,10,4,21,3,0,2,0,1,0,0,0
2016-05-12,19,0,75,11,55,8,30,4,7,1,9,8,20,0,1,3,0,2,0,0,0
2016-05-13,19,0,81,16,73,11,20,9,5,3,8,9,23,0,4,4,0,2,0,0,0
2016-05-14,19,0,81,18,87,8,30,3,8,3,5,9,13,1,0,3,0,2,0,0,0
2016-05-15,29,0,78,15,71,7,25,6,5,3,14,9,21,3,3,2,0,4,0,0,0
2016-05-16,14,0,80,11,73,14,24,2,6,2,10,6,25,1,1,4,0,1,0,0,0
2016-05-17,19,0,71,16,73,5,16,2,8,3,11,10,24,2,3,1,0,2,0,0,0
2016-05-18,16,0,76,19,82,11,23,5,5,3,8,12,25,3,3,2,0,3,0,0,0
2016-05-19,17,0,78,18,77,11,25,5,7,3,12,6,19,1,6,2,0,1,0,0,0
2016-05-20,19,0,84,17,73,8,24,1,5,2,8,4,22,1,3,4,0,3,0,0,0
2016-05-21,18,0,71,15,75,11,37,3,4,8,10,8,25,0,3,3,0,1,0,0,0
2016-05-22,14,0,78,20,71,5,19,8,5,5,10,5,17,2,1,0,0,1,0,0,0
2016-05-23,13,0,80,15,86,10,25,4,6,0,12,7,29,0,4,6,0,6,0,0,0
2016-05-24,20,0,82,15,75,8,10,5,11,1,9,4,19,2,3,2,0,1,0,0,0
2016-05-25,16,0,88,24,77,10,25,2,7,2,14,4,27,3,4,4,0,1,0,0,0
2016-05-26,25,0,77,22,70,11,26,3,6,5,4,13,15,2,1,2,0,0,0,0,0
2016-05-27,20,0,78,12,75,9,26,3,3,2,8,10,16,1,5,3,0,4,0,0,0
2016-05-28,14,0,76,17,94,7,25,7,7,2,12,9,21,1,1,1,0,4,0,0,0
2016-05-29,20,0,67,19,84,7,31,5,6,2,13,14,31,3,2,6,0,2,0,0,0
2016-05-30,21,0,85,12,82,12,27,6,5,5,12,8,34,1,0,1,0,2,0,0,0
2016-05-31,13,0,90,12,77,12,26,7,8,0,11,5,18,0,3,4,0,4,0,0,0
2016-06-01,15,0,71,14,80,9,34,4,6,0,9,8,27,0,2,7,0,3,0,0,0
2016-06-02,16,0,91,16,80,10,22,3,2,1,11,7,14,0,1,4,0,4,0,0,0
2016-06-03,14,0,71,16,81,9,32,5,3,2,13,6,26,0,2,3,0,0,0,0,0
2016-06-04,25,0,65,17,84,6,18,7,6,0,9,8,25,0,3,2,0,4,0,0,0
2016-06-05,27,0,73,16,90,10,23,2,3,1,11,8,13,0,3,3,1,1,0,0,0
2016-06-06,20,0,74,25,78,8,35,6,2,0,8,7,19,1,0,1,0,1,0,0,0
2016-06-07,16,0,69,16,101,8,27,6,5,1,10,11,29,0,1,4,0,3,0,0,0
2016-06-08,17,0,68,26,89,10,24,9,8,1,7,16,20,0,0,1,0,3,0,0,0
2016-06-09,24,0,88,18,88,16,26,5,11,2,16,11,26,1,1,4,0,4,0,0,0
2016-06-10,28,0,69,31,77,8,33,8,10,3,7,8,20,1,0,1,1,2,0,0,0
2016-06-11,28,0,85,19,69,10,33,7,9,4,13,13,21,0,0,1,0,1,0,0,0
2016-06-12,19,0,84,15,104,11,31,5,6,2,12,7,18,1,2,3,0,4,0,0,0
2016-06-13,25,0,75,20,101,16,37,10,6,1,10,6,17,0,2,1,0,2,1,0,0
2016-06-14,15,0,80,23,82,18,23,4,4,1,13,7,21,1,1,3,0,5,0,0,0
2016-06-15,11,0,67,10,87,8,30,4,3,1,18,6,28,1,2,6,0,2,0,0,0
2016-06-16,17,0,94,16,72,13,32,10,7,1,14,13,24,0,1,3,0,3,0,0,0
2016-06-17,12,0,68,28,101,9,23,6,12,1,8,9,25,0,0,3,0,1,0,0,0
2016-06-18,32,0,66,19,86,6,33,3,6,4,10,5,20,2,0,8,0,4,0,0,0
2016-06-19,24,0,65,31,102,4,26,5,5,6,12,11,18,1,7,0,0,0,0,0,0
2016-06-20,14,0,69,26,86,9,31,6,7,3,10,8,27,3,2,3,0,0,0,0,0
2016-06-21,18,0,88,20,90,12,37,6,8,5,8,11,21,2,0,4,1,1,0,0,0
2016-06-22,25,0,81,17,104,12,47,6,7,3,15,5,29,2,5,7,0,2,0,0,0
2016-06-23,20,0,90,20,95,17,32,1,6,4,12,19,15,2,0,7,0,3,0,0,0
2016-06-24,22,0,82,16,83,11,35,8,7,1,10,11,23,0,2,4,0,5,0,0,0
2016-06-25,27,0,88,21,83,10,37,3,5,1,13,5,17,3,1,3,0,2,0,1,0
2016-06-26,29,0,83,17,110,7,45,5,6,2,10,10,26,0,0,4,0,1,0,0,0
2016-06-27,28,0,71,24,104,9,49,6,9,1,14,9,25,1,2,1,0,1,0,0,0
2016-06-28,27,0,82,23,85,9,40,8,5,1,9,12,22,2,0,3,0,2,0,0,0
2016-06-29,21,0,71,26,96,13,48,10,3,5,8,8,18,0,0,2,0,2,0,0,0
2016-06-30,19,0,78,27,95,9,37,3,3,2,11,10,25,1,0,2,1,4,0,0,0
2016-07-01,23,0,75,24,101,6,32,11,11,1,8,7,29,0,1,2,0,1,0,0,0
2016-07-02,20,0,86,19,108,9,44,10,5,1,16,9,26,2,0,4,1,4,0,0,0
2016-07-03,28,0,89,26,95,12,32,8,6,5,6,5,20,2,3,2,0,0,0,0,0
2016-07-04,29,0,71,22,99,12,37,10,5,1,14,12,19,0,1,3,0,1,0,0,0
