fecha,COVID-19,Causas externas de morbilidad y de mortalidad,Enfermedades del sistema genitourinario,Enfermedades del sistema nervioso central,Trastornos mentales y del comportamiento,Tumores [Neoplasias],Enfermedades del sistema circulatorio ,"Enfermedades endocrinas, nutricionales y metabólicas",Enfermedades del sistema respiratorio ,Enfermedades del sistema digestivo,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Ciertas enfermedades infecciosas y parasitarias,Enfermedades de la piel y del tejido subcutáneo,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Enfermedades del sistema osteomuscular y del tejido conjuntivo,"Malformaciones congénitas, deformidades y anomalías cromosómicas",Enfermedades del ojo y sus anexos ,Enfermedades del oído y de la apófisis mastoides,Ciertas afecciones originadas en el período perinatal,"Embarazo, parto y puerperio",Códigos para propósitos especiales
2016-02-26,0,23,4,8,4,60,70,13,13,26,5,6,1,2,2,1,0,0,1,0,0
2016-02-27,0,19,9,10,5,65,76,11,21,22,11,8,0,3,5,3,0,0,0,0,0
2016-02-28,0,19,8,11,5,68,71,12,23,19,5,7,1,1,3,4,0,0,2,0,0
2016-02-29,0,18,5,16,4,64,55,8,21,21,8,2,1,1,1,3,0,0,4,0,0
2016-03-01,0,24,5,15,5,72,81,15,20,22,4,9,0,1,3,4,0,0,1,1,0
2016-03-02,0,19,7,12,4,69,58,8,26,21,6,2,2,2,2,1,0,0,2,0,0
2016-03-03,0,15,12,9,5,81,67,9,9,26,6,5,2,0,0,0,0,0,1,1,0
2016-03-04,0,15,12,6,5,68,67,15,16,23,6,4,1,1,3,4,0,0,4,0,0
2016-03-05,0,17,7,10,6,79,64,17,22,29,1,10,2,0,2,1,0,0,3,0,0
2016-03-06,0,28,13,2,3,60,56,19,16,25,5,4,0,0,0,3,0,0,1,0,0
2016-03-07,0,27,14,13,4,63,53,18,17,16,6,5,1,0,1,3,0,0,1,0,0
2016-03-08,0,19,6,15,7,63,48,17,16,24,8,5,0,1,1,2,0,0,1,0,0
2016-03-09,0,26,10,14,5,77,69,18,20,15,6,2,0,3,1,4,0,0,1,0,0
2016-03-10,0,31,13,15,8,82,62,23,21,21,6,3,0,0,2,3,0,0,1,0,0
2016-03-11,0,20,6,8,3,87,62,11,18,28,6,3,0,2,1,2,0,0,1,0,0
2016-03-12,0,19,4,4,3,59,61,11,18,12,7,4,0,5,1,2,0,0,1,0,0
2016-03-13,0,32,8,9,2,62,59,16,19,23,7,5,1,0,1,0,0,0,3,1,0
2016-03-14,0,17,7,14,4,74,55,10,22,20,9,8,1,2,2,0,0,0,3,0,0
2016-03-15,0,20,6,11,4,81,58,12,27,17,9,2,5,1,1,0,0,0,4,0,0
2016-03-16,0,22,10,7,2,83,67,9,19,29,3,5,0,0,2,2,0,0,4,0,0
2016-03-17,0,24,2,10,2,64,54,18,23,24,11,5,0,2,2,2,0,0,2,0,0
2016-03-18,0,18,5,11,8,65,72,18,17,26,3,3,0,1,1,4,0,0,1,0,0
2016-03-19,0,18,8,5,3,85,62,8,18,20,5,7,1,0,1,1,0,0,0,0,0
2016-03-20,0,17,13,9,5,86,65,16,11,17,7,7,1,1,3,1,0,0,2,0,0
2016-03-21,0,17,14,14,6,62,74,16,23,21,7,5,0,2,0,2,0,0,2,0,0
2016-03-22,0,25,9,3,7,52,67,13,22,13,4,7,2,2,1,6,0,0,2,0,0
2016-03-23,0,14,8,7,4,76,71,10,13,11,10,8,1,0,2,5,0,0,4,0,0
2016-03-24,0,13,8,11,4,69,75,7,16,19,5,3,1,0,1,3,0,0,1,1,0
2016-03-25,0,29,6,11,4,70,74,9,18,22,13,2,0,2,1,2,0,0,3,0,0
2016-03-26,0,16,4,8,4,79,73,10,24,24,3,5,0,3,1,0,0,0,1,1,0
2016-03-27,0,18,7,8,3,70,66,25,19,21,9,3,0,3,1,2,0,0,2,0,0
2016-03-28,0,19,10,8,4,71,70,12,22,19,11,9,0,0,3,2,0,0,2,0,0
2016-03-29,0,14,7,4,6,78,65,13,23,20,10,6,2,2,2,3,0,0,0,0,0
2016-03-30,0,6,7,10,4,68,54,12,24,21,6,7,0,3,5,5,0,0,2,2,0
2016-03-31,0,14,7,6,5,61,65,20,23,19,7,8,1,1,1,4,0,0,0,0,0
2016-04-01,0,24,10,7,3,65,56,12,18,14,13,3,1,0,2,2,0,0,5,0,0
2016-04-02,0,18,4,5,5,86,67,11,21,26,9,5,3,0,2,0,0,0,3,0,0
2016-04-03,0,34,7,10,4,54,69,17,30,22,6,5,1,0,1,3,0,0,0,0,0
2016-04-04,0,16,5,9,5,67,64,14,25,24,7,5,3,1,2,2,0,0,5,1,0
2016-04-05,0,15,2,6,4,69,69,11,17,25,3,6,0,1,1,4,0,0,2,0,0
2016-04-06,0,19,8,1,5,64,70,11,17,28,9,8,0,1,0,5,0,0,3,0,0
2016-04-07,0,11,7,8,5,82,73,16,19,28,12,4,1,1,0,3,0,0,1,0,0
2016-04-08,0,14,3,8,3,82,76,17,28,19,2,6,0,1,4,4,0,0,1,0,0
2016-04-09,0,19,8,13,7,54,67,14,27,23,6,5,2,1,1,2,0,0,0,0,0
2016-04-10,0,16,12,11,5,71,66,13,19,28,7,10,1,2,2,1,0,0,1,0,0
2016-04-11,0,23,9,11,1,87,84,15,22,30,11,7,1,1,2,2,0,0,2,0,0
2016-04-12,0,17,15,11,3,87,74,17,20,19,8,5,0,2,1,1,0,0,3,0,0
2016-04-13,0,24,10,13,4,65,67,17,17,17,11,0,0,1,1,3,0,0,2,0,0
2016-04-14,0,17,5,3,3,69,70,16,19,26,7,6,1,1,0,6,0,0,2,0,0
2016-04-15,0,13,10,5,3,81,62,15,23,27,7,9,0,3,4,4,0,0,2,0,0
2016-04-16,0,21,5,14,6,79,94,14,25,19,11,3,0,1,1,2,0,0,1,0,0
2016-04-17,0,18,11,12,4,80,75,19,18,26,8,9,1,0,5,1,0,0,1,0,0
2016-04-18,0,20,10,7,3,56,79,18,21,18,6,6,0,2,3,4,0,0,2,0,0
2016-04-19,0,16,14,10,7,82,66,16,27,19,7,6,1,1,4,2,0,0,3,0,0
2016-04-20,0,15,7,11,8,68,80,13,16,17,13,6,1,0,0,1,0,0,3,0,0
2016-04-21,0,13,9,12,4,75,67,12,19,17,7,5,1,0,1,4,0,0,2,0,0
2016-04-22,0,26,15,7,2,84,85,14,24,18,9,4,1,4,2,5,0,0,1,0,0
2016-04-23,0,18,14,7,5,78,80,17,25,17,7,8,0,1,0,5,0,0,1,0,0
2016-04-24,0,22,8,12,2,68,77,11,21,16,4,11,2,3,1,2,0,0,2,0,0
2016-04-25,0,20,11,10,5,72,86,17,31,27,4,5,1,0,1,5,0,0,0,0,0
