fecha,Enfermedades del sistema circulatorio ,COVID-19,Enfermedades del sistema respiratorio ,Enfermedades del sistema nervioso central,Enfermedades del sistema digestivo,Trastornos mentales y del comportamiento,Causas externas de morbilidad y de mortalidad,Tumores [Neoplasias],"Enfermedades endocrinas, nutricionales y metabÃ³licas","SÃ­ntomas, signos y hallazgos anormales clÃ­nicos y de laboratorio, no clasificados en otra parte",Enfermedades del sistema genitourinario,Ciertas enfermedades infecciosas y parasitarias,Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades de la piel y del tejido subcutÃ¡neo,"Malformaciones congÃ©nitas, deformidades y anomalÃ­as cromosÃ³micas","Enfermedades de la sangre y de los Ã³rganos hematopoyÃ©ticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Enfermedades del oÃ­do y de la apÃ³fisis mastoides,Enfermedades del ojo y sus anexos ,Ciertas afecciones originadas en el perÃ­odo perinatal,"Embarazo, parto y puerperio",CÃ³digos para propÃ³sitos especiales
2016-08-12,91,0,36,15,23,6,19,80,16,9,12,9,2,0,1,5,0,0,1,0,0
2016-08-13,77,0,31,11,25,7,30,89,17,7,8,11,2,1,3,1,0,0,0,0,0
2016-08-14,69,0,39,13,24,2,23,80,25,9,6,5,1,3,2,0,0,0,3,0,0
2016-08-15,90,0,43,12,18,3,21,64,18,3,11,7,0,1,3,1,0,0,1,0,0
2016-08-16,88,0,51,13,23,3,20,77,27,10,13,8,5,0,2,0,0,0,3,1,0
2016-08-17,80,0,36,10,24,6,27,82,13,11,11,9,2,2,6,3,0,0,1,0,0
2016-08-18,87,0,34,12,21,6,22,60,25,5,13,4,4,1,4,2,0,0,2,1,0
2016-08-19,80,0,45,14,26,6,20,72,17,10,7,10,0,1,1,3,0,0,3,0,0
2016-08-20,69,0,31,11,19,10,18,78,19,10,14,5,2,1,5,0,0,0,3,1,0
2016-08-21,90,0,42,16,24,3,27,70,16,11,14,6,2,0,5,2,0,0,1,0,0
2016-08-22,85,0,38,17,20,10,28,73,17,11,12,8,2,1,3,0,0,0,4,0,0
2016-08-23,101,0,35,10,21,5,11,77,19,7,8,6,3,2,2,2,0,0,1,0,0
2016-08-24,66,0,32,13,28,3,17,77,22,6,10,9,2,4,1,1,0,0,3,0,0
2016-08-25,93,0,37,9,24,7,17,78,22,4,9,8,3,1,4,4,0,0,3,0,0
2016-08-26,84,0,25,9,14,5,16,62,21,10,9,4,5,2,5,1,0,0,2,0,0
2016-08-27,79,0,27,7,16,3,20,80,20,3,7,6,3,2,3,0,0,0,2,0,0
2016-08-28,94,0,22,10,21,8,33,86,25,14,9,7,3,2,0,0,0,0,2,0,0
2016-08-29,75,0,34,9,15,10,17,76,21,11,12,8,1,1,5,1,0,0,0,0,0
2016-08-30,80,0,46,3,21,9,24,67,22,12,7,8,1,2,4,1,0,0,2,1,0
2016-08-31,85,0,40,12,20,5,16,79,19,7,5,5,2,1,7,2,0,0,0,0,0
2016-09-01,81,0,29,6,20,4,20,77,16,10,8,6,2,3,2,2,0,0,2,0,0
2016-09-02,79,0,34,12,20,8,14,70,17,10,3,3,2,2,4,1,0,0,4,1,0
2016-09-03,85,0,43,6,20,2,29,72,24,10,14,5,2,1,4,0,0,0,0,0,0
2016-09-04,94,0,31,20,19,3,31,75,16,13,7,7,0,0,3,1,0,0,0,0,0
2016-09-05,82,0,45,15,25,6,23,91,16,8,5,3,3,1,1,1,0,0,1,0,0
2016-09-06,98,0,37,21,24,6,24,62,24,6,13,11,2,1,1,1,0,0,2,0,0
2016-09-07,93,0,36,8,29,8,24,85,20,9,12,12,0,3,6,2,0,0,1,0,0
2016-09-08,92,0,38,7,25,6,16,77,21,4,11,11,1,2,3,1,0,0,0,0,0
2016-09-09,90,0,34,14,18,0,32,91,20,5,14,6,0,1,2,0,0,0,3,0,0
2016-09-10,87,0,47,14,25,6,30,80,12,11,13,2,4,2,2,3,0,0,3,0,0
2016-09-11,98,0,35,8,17,6,36,87,18,7,6,5,3,3,3,3,0,0,1,0,0
2016-09-12,71,0,35,16,18,8,21,79,17,8,14,4,0,0,2,1,0,0,1,0,0
2016-09-13,76,0,30,9,23,3,27,78,15,3,14,7,3,1,3,1,0,0,0,0,0
2016-09-14,72,0,33,11,28,9,20,68,18,14,8,8,1,1,3,0,0,0,4,0,0
2016-09-15,87,0,38,15,24,2,16,79,17,7,8,7,2,0,2,2,0,0,0,0,0
2016-09-16,72,0,31,4,24,2,22,76,18,5,8,7,3,1,6,1,0,0,1,0,0
2016-09-17,76,0,36,12,22,6,26,60,18,11,8,7,3,1,4,1,0,0,1,0,0
2016-09-18,92,0,39,8,25,4,28,70,21,9,10,6,5,0,2,2,0,0,2,0,0
2016-09-19,96,0,29,10,24,1,31,79,20,15,4,11,2,1,4,1,0,0,1,0,0
2016-09-20,81,0,41,7,27,5,28,87,23,7,10,5,4,1,1,4,0,0,3,0,0
2016-09-21,84,0,30,10,37,3,18,67,17,6,9,4,0,2,3,0,0,0,4,0,0
2016-09-22,81,0,35,17,23,3,28,63,17,5,11,13,4,1,5,1,0,0,3,0,0
2016-09-23,92,0,29,7,24,5,25,59,13,9,11,7,2,0,4,1,0,0,2,0,0
2016-09-24,81,0,33,14,17,7,34,64,17,10,8,7,0,0,5,0,0,0,2,0,0
2016-09-25,98,0,35,12,17,3,17,60,25,12,6,4,2,2,3,2,0,0,3,0,0
2016-09-26,83,0,33,14,32,5,23,77,14,8,8,5,1,1,5,1,0,0,4,0,0
2016-09-27,77,0,33,21,18,7,20,65,18,5,8,4,2,1,3,0,0,0,4,0,0
2016-09-28,69,0,25,10,19,10,19,81,11,10,11,10,6,1,1,4,0,0,1,0,0
2016-09-29,79,0,33,16,17,9,17,83,26,2,8,10,3,1,3,1,0,0,2,0,0
2016-09-30,78,0,36,5,27,4,13,59,17,8,4,3,2,1,4,2,0,0,0,1,0
2016-10-01,71,0,33,11,22,7,21,63,21,8,14,4,0,0,4,4,0,0,3,0,0
2016-10-02,93,0,24,7,19,9,26,92,23,8,8,9,0,1,2,2,0,0,3,0,0
2016-10-03,70,0,20,7,19,2,23,73,17,7,10,8,1,0,1,4,0,0,2,0,0
2016-10-04,82,0,36,11,18,2,21,81,11,7,9,8,0,1,2,0,0,0,0,0,0
2016-10-05,78,0,17,13,19,9,25,64,13,3,8,6,3,0,4,2,0,0,1,0,0
2016-10-06,80,0,22,8,25,3,21,79,14,7,7,6,4,1,5,1,0,0,1,0,0
2016-10-07,72,0,24,9,28,8,18,70,17,3,7,6,4,0,3,0,0,0,2,0,0
2016-10-08,72,0,28,10,19,8,33,74,17,3,14,9,2,1,1,2,0,0,2,0,0
2016-10-09,78,0,28,9,34,5,29,78,18,2,9,6,4,1,0,0,0,0,0,0,0
2016-10-10,81,0,28,8,19,2,30,77,12,8,8,8,0,0,2,0,0,0,4,0,0
2016-10-11,66,0,34,11,22,6,26,76,16,9,7,5,3,0,3,1,0,0,2,0,0
2016-10-12,77,0,26,8,20,7,22,85,13,4,5,12,4,1,3,0,0,0,3,0,0
2016-10-13,72,0,12,16,29,4,10,74,16,9,8,4,2,1,2,0,0,0,0,0,0
2016-10-14,61,0,29,5,18,2,13,70,15,7,7,9,2,1,3,2,0,0,2,0,0
2016-10-15,55,0,26,10,18,4,20,86,17,11,10,6,2,0,0,0,0,0,0,0,0
2016-10-16,70,0,30,10,19,6,25,77,20,7,11,6,2,0,3,2,0,0,3,1,0
2016-10-17,75,0,24,8,25,6,20,68,13,6,10,9,1,1,1,1,0,0,1,0,0
2016-10-18,71,0,25,10,18,3,12,60,11,7,6,4,2,2,2,4,0,0,3,0,0
2016-10-19,90,0,27,6,12,4,14,64,14,4,8,3,1,1,4,1,0,0,2,0,0
2016-10-20,69,0,32,16,23,3,20,71,11,3,12,11,3,2,2,0,0,0,1,0,0
2016-10-21,91,0,29,8,15,5,19,76,11,5,6,7,4,0,3,2,0,0,1,1,0
2016-10-22,83,0,23,11,20,6,17,72,13,10,8,4,0,0,1,1,0,0,0,0,0
2016-10-23,81,0,30,11,16,3,26,81,13,5,15,8,1,1,0,1,0,0,4,0,0
2016-10-24,73,0,26,8,15,5,21,70,17,9,12,4,2,1,1,1,0,0,4,0,0
2016-10-25,64,0,24,7,22,2,16,79,20,12,8,4,0,1,3,9,0,0,2,0,0
2016-10-26,80,0,25,7,24,2,21,81,15,5,6,1,3,4,2,1,0,0,4,0,0
2016-10-27,74,0,24,12,23,2,12,86,13,11,11,5,1,2,5,0,0,0,3,0,0
2016-10-28,71,0,21,15,18,3,13,75,21,5,15,7,2,1,2,1,0,0,1,0,0
2016-10-29,81,0,38,5,13,4,33,63,14,6,13,2,2,1,3,0,0,0,2,0,0
2016-10-30,65,0,25,11,22,3,30,55,10,8,8,5,0,0,1,2,0,0,3,0,0
2016-10-31,71,0,29,7,18,4,18,58,18,9,9,3,2,1,1,1,0,0,2,0,0
2016-11-01,70,0,29,11,18,10,27,70,12,7,16,4,2,0,2,3,0,0,2,1,0
2016-11-02,78,0,30,7,23,5,26,67,10,5,9,9,1,1,3,3,0,0,2,0,0
2016-11-03,66,0,22,8,19,2,19,74,12,5,8,5,0,4,1,2,0,0,4,0,0
2016-11-04,82,0,32,12,25,6,26,79,15,3,10,9,1,3,0,3,0,0,0,1,0
2016-11-05,78,0,35,7,25,2,26,79,19,5,15,7,1,0,3,2,0,0,1,0,0
2016-11-06,71,0,40,13,25,2,29,59,7,6,12,5,1,3,3,0,0,0,3,0,0
2016-11-07,78,0,28,7,22,7,16,59,13,9,14,5,3,3,1,2,0,0,1,0,0
2016-11-08,68,0,26,9,22,3,13,71,12,4,10,11,3,2,5,1,0,0,2,1,0
2016-11-09,39,0,21,9,18,2,20,62,16,6,12,5,0,2,3,2,0,0,3,0,0
2016-11-10,77,0,24,6,22,2,17,69,8,11,10,6,2,3,3,1,0,0,2,0,0
2016-11-11,74,0,25,4,22,6,24,72,18,4,8,7,4,3,1,1,0,0,0,0,0
2016-11-12,68,0,24,5,25,4,20,67,11,8,10,7,6,0,2,3,0,0,2,0,0
2016-11-13,69,0,29,8,12,8,22,72,13,8,8,6,2,2,1,0,0,0,2,0,0
2016-11-14,58,0,18,10,13,4,26,67,19,10,6,0,3,3,0,1,0,0,1,0,0
2016-11-15,76,0,17,7,15,1,18,62,15,3,13,5,2,2,2,1,0,0,3,0,0
2016-11-16,60,0,19,8,18,6,16,65,13,12,14,5,1,0,3,0,0,0,0,0,0
2016-11-17,66,0,33,10,17,4,15,76,14,5,13,13,2,1,2,0,0,0,2,0,0
2016-11-18,58,0,23,9,20,4,13,84,16,7,8,9,0,4,4,5,0,0,2,1,0
2016-11-19,63,0,24,9,18,2,29,79,15,7,8,7,3,2,3,1,0,0,1,0,0
2016-11-20,64,0,22,7,21,8,36,69,19,12,5,7,1,1,3,1,0,0,2,0,0
2016-11-21,75,0,19,5,15,4,15,68,13,8,10,6,2,2,4,0,0,0,0,0,0
2016-11-22,75,0,23,9,23,1,19,60,18,8,7,1,1,1,0,0,0,0,1,0,0
2016-11-23,74,0,22,9,17,4,25,84,19,5,3,2,3,1,0,0,0,0,1,0,0
2016-11-24,72,0,21,7,23,4,14,85,22,4,6,2,1,1,3,2,0,0,1,0,0
2016-11-25,71,0,28,4,15,2,19,80,20,10,7,6,3,1,1,0,0,0,4,0,0
2016-11-26,62,0,27,9,15,1,16,75,27,7,11,4,1,1,2,1,0,0,2,0,0
2016-11-27,64,0,18,12,23,6,29,74,17,5,8,11,2,1,4,1,0,0,1,2,0
2016-11-28,82,0,18,5,20,3,18,79,13,6,11,7,1,3,3,1,0,0,2,0,0
2016-11-29,73,0,26,10,15,5,14,79,14,5,6,7,0,0,0,1,0,0,4,0,0
2016-11-30,81,0,19,10,18,3,23,75,15,5,10,9,1,3,5,2,0,0,4,0,0
2016-12-01,54,0,24,6,18,2,15,75,18,10,10,4,3,1,3,1,0,0,0,0,0
2016-12-02,85,0,27,7,14,3,25,60,14,10,11,4,3,0,1,1,0,0,4,0,0
2016-12-03,63,0,22,8,17,3,26,75,12,2,7,5,2,1,0,0,0,0,1,0,0
2016-12-04,65,0,24,7,18,3,23,78,15,5,8,6,2,0,1,3,0,0,0,0,0
2016-12-05,55,0,28,6,21,5,25,67,15,7,9,5,1,1,2,0,0,0,1,0,0
2016-12-06,59,0,22,8,21,2,18,85,13,6,4,5,3,2,3,0,0,0,2,0,0
2016-12-07,71,0,16,13,17,5,19,91,13,4,11,4,3,1,4,1,0,0,2,0,0
2016-12-08,73,0,18,7,17,4,21,78,13,2,10,6,2,0,1,0,0,0,4,0,0
2016-12-09,66,0,26,15,17,3,22,79,17,1,9,6,2,0,6,1,0,0,1,0,0
2016-12-10,58,0,22,10,16,3,14,68,11,8,5,6,0,4,3,2,0,0,0,0,0
2016-12-11,76,0,23,10,21,4,31,77,9,5,7,8,1,1,1,2,0,0,1,0,0
2016-12-12,80,0,25,6,26,3,17,80,15,11,10,7,0,1,3,1,0,0,3,0,0
2016-12-13,52,0,26,9,26,6,21,81,11,7,6,7,2,0,2,0,0,0,2,0,0
2016-12-14,66,0,21,10,21,0,16,84,13,5,11,5,0,0,0,0,0,0,1,1,0
2016-12-15,67,0,19,6,18,7,23,83,11,9,9,5,2,1,3,1,0,0,2,0,0
2016-12-16,58,0,16,5,25,3,19,74,7,8,11,5,3,1,2,2,0,0,5,0,0
2016-12-17,72,0,16,6,17,6,22,63,16,11,12,6,1,4,1,1,0,0,5,0,0
2016-12-18,79,0,28,14,20,4,30,65,21,8,12,5,1,2,0,3,0,0,3,0,0
2016-12-19,68,0,18,9,13,4,17,66,12,9,12,9,3,0,4,2,0,0,0,0,0
2016-12-20,68,0,30,9,16,4,19,65,14,8,10,7,2,2,5,0,0,0,2,0,0
2016-12-21,73,0,22,6,17,2,25,77,14,6,6,10,6,0,4,2,0,0,0,0,0
2016-12-22,66,0,22,10,24,4,23,72,14,9,10,7,3,4,2,1,0,0,1,0,0
2016-12-23,67,0,15,11,20,5,13,71,20,10,8,2,2,0,4,2,0,0,3,0,0
2016-12-24,69,0,18,10,19,3,25,69,12,6,10,2,2,1,0,1,0,0,2,0,0
2016-12-25,75,0,17,13,19,5,39,62,9,11,8,9,1,0,1,0,0,0,7,0,0
2016-12-26,69,0,13,9,19,5,17,72,7,3,6,5,1,1,2,2,0,0,1,0,0
2016-12-27,65,0,21,6,12,6,19,72,13,3,10,6,2,2,4,0,0,0,0,1,0
2016-12-28,67,0,20,9,19,5,22,64,16,9,9,3,3,1,2,2,0,0,1,0,0
2016-12-29,60,0,22,9,12,5,24,75,16,8,8,10,2,2,2,0,0,0,0,0,0
2016-12-30,32,0,11,6,12,2,25,46,8,3,10,1,0,1,2,0,0,0,4,0,0
2016-12-31,54,0,19,14,14,3,23,48,10,7,6,3,3,1,3,3,0,0,4,0,0
2017-01-01,77,0,21,5,15,2,42,84,10,6,13,4,2,1,1,1,0,0,1,0,0
2017-01-02,79,0,33,10,21,8,25,76,8,6,6,4,0,1,1,1,0,0,3,0,0
2017-01-03,85,0,36,9,18,3,22,74,11,9,12,6,1,3,1,1,0,0,2,0,0
2017-01-04,74,0,13,9,18,0,14,84,6,5,6,7,1,1,3,1,0,0,2,0,0
2017-01-05,56,0,27,10,22,4,19,65,18,3,5,4,2,5,1,2,0,0,6,0,0
2017-01-06,69,0,15,15,19,6,11,83,20,7,6,3,1,1,2,1,0,0,1,0,0
2017-01-07,63,0,24,12,21,2,29,80,18,6,8,9,6,1,1,1,0,0,3,0,0
2017-01-08,72,0,23,10,18,2,22,80,9,5,10,9,1,0,3,0,0,0,3,1,0
2017-01-09,63,0,20,5,15,5,21,79,8,4,10,4,2,0,4,0,0,0,2,0,0
2017-01-10,71,0,28,8,17,7,20,83,12,4,15,4,0,0,2,3,0,0,2,0,0
2017-01-11,61,0,22,7,21,4,24,79,14,5,16,8,0,2,3,0,0,0,4,0,0
2017-01-12,67,0,19,15,23,6,14,84,14,9,9,3,1,0,1,1,0,0,3,0,0
2017-01-13,63,0,23,8,17,8,16,72,15,7,16,6,0,0,2,0,0,0,3,0,0
2017-01-14,82,0,21,9,25,2,30,75,15,5,10,2,0,3,2,0,0,0,1,0,0
2017-01-15,62,0,19,11,23,2,36,70,20,7,6,5,2,3,2,4,0,0,2,0,0
2017-01-16,60,0,25,10,27,2,22,82,18,5,11,8,0,1,3,0,0,0,0,0,0
2017-01-17,71,0,20,13,31,4,19,58,17,11,7,4,1,4,2,2,0,0,1,0,0
2017-01-18,68,0,19,10,21,5,18,75,18,9,15,7,2,3,0,3,0,0,4,0,0
2017-01-19,71,0,20,10,26,5,21,91,20,8,15,5,4,1,2,1,0,0,1,0,0
2017-01-20,62,0,37,11,22,7,16,80,13,12,11,9,2,5,4,2,0,0,3,0,0
2017-01-21,91,0,30,19,32,6,26,80,19,11,11,7,1,2,2,2,0,0,2,0,0
2017-01-22,63,0,31,10,14,14,29,71,14,11,9,5,4,2,2,1,0,0,0,0,0
2017-01-23,76,0,30,11,14,6,21,71,16,13,9,6,2,0,2,2,0,0,2,0,0
2017-01-24,79,0,23,12,18,8,23,79,21,7,14,9,3,4,5,2,0,0,1,1,0
2017-01-25,72,0,30,19,26,4,20,79,22,9,10,10,1,2,7,1,0,0,1,0,0
2017-01-26,81,0,25,16,20,4,35,70,9,9,9,6,1,1,4,2,0,0,1,1,0
2017-01-27,73,0,27,15,16,4,16,85,17,9,11,8,1,2,5,3,0,0,4,1,0
2017-01-28,82,0,34,9,19,5,26,73,18,7,10,11,4,1,0,2,0,0,5,0,0
2017-01-29,63,0,34,16,17,7,31,67,19,12,8,4,2,3,0,0,0,0,1,0,0
2017-01-30,70,0,25,10,21,8,21,70,14,6,9,9,1,4,1,0,0,0,5,0,0
2017-01-31,74,0,30,9,20,4,23,72,16,5,10,7,0,0,0,0,0,0,1,0,0
2017-02-01,66,0,30,14,28,4,28,79,14,8,7,10,1,0,3,1,0,0,2,0,0
2017-02-02,60,0,10,8,21,8,19,68,19,7,4,7,4,2,2,0,0,0,1,0,0
2017-02-03,78,0,21,10,22,2,20,88,20,8,6,6,2,3,1,2,0,0,1,0,0
2017-02-04,70,0,18,8,18,3,18,65,16,8,10,5,2,2,2,0,0,0,0,0,0
2017-02-05,82,0,22,15,26,8,29,55,9,6,9,7,3,0,3,0,0,0,3,0,0
2017-02-06,67,0,31,9,25,3,31,68,11,6,10,3,0,1,1,4,0,0,4,1,0
2017-02-07,50,0,26,6,14,4,14,70,9,9,13,6,2,0,3,0,0,0,1,0,0
2017-02-08,54,0,10,10,19,4,23,72,9,7,8,7,1,1,4,1,0,0,3,0,0
2017-02-09,60,0,25,8,20,5,17,55,14,7,10,7,1,0,2,1,0,0,2,0,0
2017-02-10,72,0,18,13,21,2,25,87,11,5,5,10,3,2,3,1,0,0,0,1,0
2017-02-11,62,0,22,10,18,2,23,91,11,2,6,9,0,0,4,0,0,0,2,0,0
2017-02-12,63,0,16,13,21,11,35,77,14,9,5,9,2,1,3,1,0,0,1,0,0
2017-02-13,68,0,19,13,26,5,15,90,13,9,10,6,0,2,3,0,0,0,2,0,0
2017-02-14,67,0,18,3,24,2,32,66,15,3,6,10,3,1,2,0,0,0,1,0,0
2017-02-15,61,0,17,8,28,7,25,71,11,3,9,4,2,1,1,2,0,0,3,0,0
2017-02-16,65,0,21,10,28,5,16,85,17,5,8,6,1,0,6,0,0,0,1,0,0
2017-02-17,59,0,16,12,22,2,20,63,15,7,4,6,2,0,4,0,0,0,5,0,0
2017-02-18,57,0,28,8,17,2,20,80,18,6,9,4,0,0,0,2,0,0,4,0,0
2017-02-19,72,0,15,6,23,1,24,72,18,6,12,2,6,1,2,1,0,0,0,0,0
2017-02-20,68,0,23,9,21,6,16,91,15,5,8,9,1,1,2,0,0,0,1,0,0
2017-02-21,67,0,11,8,25,4,22,90,19,8,12,6,0,2,2,0,0,0,2,0,0
2017-02-22,65,0,24,8,15,3,23,84,13,12,10,11,4,2,5,0,0,0,1,0,0
2017-02-23,75,0,20,10,25,5,24,77,13,9,10,7,2,2,0,3,1,0,3,0,0
2017-02-24,66,0,18,12,21,4,26,78,13,10,17,0,1,2,1,3,1,0,1,1,0
2017-02-25,70,0,20,9,23,3,23,66,14,6,10,3,4,1,3,0,0,0,0,2,0
2017-02-26,90,0,31,8,28,4,35,68,20,9,8,9,1,0,0,3,0,0,4,0,0
2017-02-27,66,0,17,12,17,6,22,75,20,8,17,5,3,1,4,1,0,0,2,0,0
2017-02-28,55,0,19,11,23,7,23,67,7,5,9,4,3,2,4,0,0,0,0,0,0
2017-03-01,59,0,19,7,16,8,13,62,15,10,11,4,2,0,5,0,0,0,0,0,0
2017-03-02,52,0,23,6,26,7,18,74,10,5,11,7,1,1,3,5,0,0,1,0,0
2017-03-03,67,0,25,14,22,5,19,63,12,5,11,5,1,0,0,1,0,0,3,0,0
2017-03-04,68,0,17,8,17,5,25,65,10,12,5,6,1,0,3,1,0,0,0,0,0
2017-03-05,67,0,16,13,17,3,24,66,7,5,12,3,1,0,1,2,0,0,1,0,0
2017-03-06,63,0,20,10,18,1,22,72,12,3,4,8,2,0,5,1,0,0,4,0,0
2017-03-07,65,0,23,14,14,4,23,82,19,8,4,7,1,1,2,1,0,0,1,0,0
2017-03-08,63,0,20,8,19,6,9,74,11,4,3,8,1,3,6,3,0,0,2,0,0
2017-03-09,58,0,21,11,30,3,19,56,9,7,13,10,2,0,1,3,0,0,1,0,0
2017-03-10,70,0,14,14,28,2,15,58,8,5,4,2,1,4,5,2,0,0,2,0,0
2017-03-11,74,0,15,7,17,3,23,71,9,9,6,2,3,0,1,3,0,0,0,0,0
2017-03-12,69,0,17,13,22,1,24,70,15,8,8,10,1,1,4,0,0,0,2,0,0
2017-03-13,68,0,15,10,19,4,27,69,12,10,7,3,0,3,0,2,0,0,1,0,0
2017-03-14,70,0,27,8,17,4,13,71,6,4,8,4,1,1,2,0,0,0,2,1,0
2017-03-15,66,0,21,5,20,5,18,69,14,8,4,2,3,1,4,2,0,0,4,1,0
2017-03-16,70,0,14,1,20,3,10,67,16,7,10,10,1,4,3,0,0,0,1,0,0
2017-03-17,51,0,15,4,21,2,20,72,13,8,3,7,2,3,6,1,0,0,4,0,0
2017-03-18,67,0,26,12,23,6,25,80,17,4,14,3,0,3,1,2,0,0,3,0,0
2017-03-19,60,0,13,11,14,5,28,83,14,8,13,7,3,1,2,0,0,0,2,0,0
2017-03-20,53,0,18,10,18,6,12,67,9,6,11,7,0,2,2,4,0,0,6,1,0
2017-03-21,63,0,20,8,22,3,16,69,16,4,11,6,1,1,4,2,0,0,2,0,0
2017-03-22,64,0,26,6,18,5,4,84,10,1,6,7,2,0,1,1,0,0,0,0,0
2017-03-23,65,0,17,11,18,4,20,85,14,4,7,6,1,0,2,1,0,0,6,0,0
2017-03-24,59,0,27,10,20,2,23,93,10,7,4,5,1,1,2,1,0,0,0,0,0
2017-03-25,72,0,22,14,17,6,17,74,16,8,8,11,1,1,1,1,0,0,2,0,0
2017-03-26,79,0,22,7,16,4,19,72,19,4,5,4,1,2,3,0,0,0,2,0,0
2017-03-27,78,0,22,10,19,3,16,74,10,4,5,6,1,2,4,3,0,0,0,0,0
2017-03-28,69,0,26,10,23,6,21,79,8,4,7,9,3,0,2,2,0,0,2,0,0
2017-03-29,53,0,15,7,22,3,17,77,15,6,10,12,1,1,3,0,0,0,2,0,0
2017-03-30,75,0,22,11,22,4,16,67,15,7,5,5,1,1,3,1,0,0,4,0,0
2017-03-31,51,0,19,7,22,4,19,91,13,2,10,3,3,3,5,1,0,0,2,0,0
2017-04-01,74,0,21,5,13,7,29,69,13,4,8,4,1,1,3,2,0,0,1,1,0
2017-04-02,58,0,28,7,18,0,30,68,17,5,15,9,0,0,2,2,0,0,1,0,0
2017-04-03,78,0,18,13,19,5,20,87,10,7,15,11,1,0,2,0,0,0,1,0,0
2017-04-04,66,0,21,8,30,4,14,72,23,3,8,8,3,2,0,2,0,0,2,0,0
2017-04-05,73,0,21,8,24,8,20,87,12,4,13,11,2,2,4,0,0,0,1,1,0
2017-04-06,60,0,27,12,12,4,19,64,16,9,5,5,2,1,2,2,0,0,5,0,0
2017-04-07,68,0,25,7,22,5,17,72,10,7,13,6,1,1,1,2,0,0,1,0,0
2017-04-08,75,0,22,13,19,4,24,63,16,4,7,7,3,0,1,1,0,0,4,0,0
2017-04-09,81,0,14,13,27,5,26,81,15,10,4,5,0,0,0,0,0,0,4,0,0
2017-04-10,72,0,26,7,24,6,19,84,12,12,8,5,2,2,4,1,0,0,3,1,0
2017-04-11,78,0,23,13,25,4,19,83,18,8,9,11,1,1,4,4,0,0,2,0,0
2017-04-12,68,0,25,9,23,7,15,72,10,4,10,9,4,1,2,1,0,0,0,2,0
2017-04-13,69,0,25,11,19,7,19,100,12,1,8,7,3,3,2,1,0,0,2,0,0
2017-04-14,74,0,20,11,17,4,17,73,18,6,10,6,0,1,2,0,0,0,2,0,0
2017-04-15,71,0,35,5,17,0,25,87,11,2,8,3,0,1,1,1,0,0,2,1,0
2017-04-16,65,0,24,9,26,11,22,70,19,6,9,4,1,3,2,2,0,0,5,0,0
2017-04-17,69,0,27,7,20,4,28,95,20,7,5,6,0,0,1,0,0,0,1,0,0
2017-04-18,68,0,17,3,20,2,29,72,14,2,6,4,1,0,2,0,0,0,0,0,0
2017-04-19,62,0,33,13,22,3,15,71,10,6,11,6,2,2,1,5,0,0,2,1,0
2017-04-20,78,0,28,4,21,4,18,81,18,7,14,2,0,1,2,0,0,0,4,0,0
2017-04-21,80,0,22,14,22,3,21,78,5,1,7,6,4,2,2,0,0,0,4,0,0
2017-04-22,59,0,25,6,18,5,26,67,10,7,6,7,2,2,1,0,0,0,2,0,0
2017-04-23,82,0,24,6,18,6,12,63,17,8,12,6,2,1,0,0,0,0,0,0,0
2017-04-24,70,0,20,11,23,7,24,74,19,3,10,2,0,1,2,1,0,0,3,0,0
2017-04-25,73,0,24,10,13,2,22,74,19,5,13,4,1,0,3,0,0,0,2,0,0
2017-04-26,67,0,27,15,24,9,21,74,18,4,12,5,1,2,3,2,0,0,1,0,0
2017-04-27,61,0,25,11,23,6,18,73,14,8,9,8,3,1,3,3,0,0,2,0,0
2017-04-28,78,0,21,10,27,4,16,82,21,4,6,6,5,1,1,0,0,0,3,0,0
2017-04-29,78,0,34,9,22,5,25,92,14,7,11,4,5,0,2,0,0,0,3,0,0
2017-04-30,83,0,29,6,17,8,31,69,10,10,8,7,5,3,1,0,0,0,0,0,0
2017-05-01,73,0,27,9,21,5,31,72,11,5,11,6,2,2,4,4,0,0,3,0,0
2017-05-02,61,0,24,7,25,4,14,71,13,3,10,10,1,0,5,2,0,0,1,1,0
2017-05-03,91,0,18,11,24,4,14,77,7,3,9,5,6,0,1,5,0,0,1,0,0
2017-05-04,88,0,25,9,22,7,18,91,16,3,8,10,1,4,1,2,0,0,1,0,0
2017-05-05,92,0,27,11,21,3,18,70,19,7,12,11,0,2,4,0,0,0,0,0,0
2017-05-06,70,0,25,11,26,3,15,74,18,5,8,5,1,2,2,1,0,0,3,0,0
2017-05-07,63,0,26,11,22,11,19,83,14,9,8,5,2,1,2,1,0,0,2,0,0
2017-05-08,68,0,22,13,18,1,21,70,17,3,15,2,1,2,2,1,0,0,3,0,0
2017-05-09,74,0,19,12,22,6,15,66,16,4,7,7,3,1,2,2,0,0,1,0,0
2017-05-10,68,0,23,8,23,6,17,54,14,4,8,6,1,0,3,3,0,0,3,0,0
2017-05-11,85,0,35,12,15,1,8,72,12,3,7,4,1,1,3,2,0,0,3,0,0
2017-05-12,63,0,25,10,23,5,17,109,13,9,6,7,0,3,2,3,0,0,4,0,0
2017-05-13,72,0,36,7,17,7,30,79,12,7,11,11,1,3,2,0,0,0,3,1,0
