fecha,Enfermedades del sistema circulatorio ,COVID-19,Enfermedades del sistema respiratorio ,Enfermedades del sistema nervioso central,Enfermedades del sistema digestivo,Trastornos mentales y del comportamiento,Causas externas de morbilidad y de mortalidad,Tumores [Neoplasias],"Enfermedades endocrinas, nutricionales y metabÃ³licas","SÃ­ntomas, signos y hallazgos anormales clÃ­nicos y de laboratorio, no clasificados en otra parte",Enfermedades del sistema genitourinario,Ciertas enfermedades infecciosas y parasitarias,Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades de la piel y del tejido subcutÃ¡neo,"Malformaciones congÃ©nitas, deformidades y anomalÃ­as cromosÃ³micas","Enfermedades de la sangre y de los Ã³rganos hematopoyÃ©ticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Enfermedades del oÃ­do y de la apÃ³fisis mastoides,Enfermedades del ojo y sus anexos ,Ciertas afecciones originadas en el perÃ­odo perinatal,"Embarazo, parto y puerperio",CÃ³digos para propÃ³sitos especiales
2016-02-25,60,0,17,10,22,3,21,67,14,5,15,4,0,0,4,0,0,0,2,0,0
2016-02-26,70,0,13,8,26,4,23,60,13,5,4,6,2,1,1,2,0,0,1,0,0
2016-02-27,76,0,21,10,22,5,19,65,11,11,9,8,5,0,3,3,0,0,0,0,0
2016-02-28,71,0,23,11,19,5,19,68,12,5,8,7,3,1,4,1,0,0,2,0,0
2016-02-29,55,0,21,16,21,4,18,64,8,8,5,2,1,1,3,1,0,0,4,0,0
2016-03-01,81,0,20,15,22,5,24,72,15,4,5,9,3,0,4,1,0,0,1,1,0
2016-03-02,58,0,26,12,21,4,19,69,8,6,7,2,2,2,1,2,0,0,2,0,0
2016-03-03,67,0,9,9,26,5,15,81,9,6,12,5,0,2,0,0,0,0,1,1,0
2016-03-04,67,0,16,6,23,5,15,68,15,6,12,4,3,1,4,1,0,0,4,0,0
2016-03-05,64,0,22,10,29,6,17,79,17,1,7,10,2,2,1,0,0,0,3,0,0
2016-03-06,56,0,16,2,25,3,28,60,19,5,13,4,0,0,3,0,0,0,1,0,0
2016-03-07,53,0,17,13,16,4,27,63,18,6,14,5,1,1,3,0,0,0,1,0,0
2016-03-08,48,0,16,15,24,7,19,63,17,8,6,5,1,0,2,1,0,0,1,0,0
2016-03-09,69,0,20,14,15,5,26,77,18,6,10,2,1,0,4,3,0,0,1,0,0
2016-03-10,62,0,21,15,21,8,31,82,23,6,13,3,2,0,3,0,0,0,1,0,0
2016-03-11,62,0,18,8,28,3,20,87,11,6,6,3,1,0,2,2,0,0,1,0,0
2016-03-12,61,0,18,4,12,3,19,59,11,7,4,4,1,0,2,5,0,0,1,0,0
2016-03-13,59,0,19,9,23,2,32,62,16,7,8,5,1,1,0,0,0,0,3,1,0
2016-03-14,55,0,22,14,20,4,17,74,10,9,7,8,2,1,0,2,0,0,3,0,0
2016-03-15,58,0,27,11,17,4,20,81,12,9,6,2,1,5,0,1,0,0,4,0,0
2016-03-16,67,0,19,7,29,2,22,83,9,3,10,5,2,0,2,0,0,0,4,0,0
2016-03-17,54,0,23,10,24,2,24,64,18,11,2,5,2,0,2,2,0,0,2,0,0
2016-03-18,72,0,17,11,26,8,18,65,18,3,5,3,1,0,4,1,0,0,1,0,0
2016-03-19,62,0,18,5,20,3,18,85,8,5,8,7,1,1,1,0,0,0,0,0,0
