fecha,Enfermedades del sistema circulatorio ,COVID-19,Causas externas de morbilidad y de mortalidad,Tumores [Neoplasias],Enfermedades del sistema nervioso central,Trastornos mentales y del comportamiento,"Enfermedades endocrinas, nutricionales y metabÃ³licas","SÃ­ntomas, signos y hallazgos anormales clÃ­nicos y de laboratorio, no clasificados en otra parte",Enfermedades del sistema digestivo,Enfermedades del sistema respiratorio ,Ciertas enfermedades infecciosas y parasitarias,Enfermedades del sistema genitourinario,"Enfermedades de la sangre y de los Ã³rganos hematopoyÃ©ticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades de la piel y del tejido subcutÃ¡neo,"Malformaciones congÃ©nitas, deformidades y anomalÃ­as cromosÃ³micas",Enfermedades del ojo y sus anexos ,Ciertas afecciones originadas en el perÃ­odo perinatal,"Embarazo, parto y puerperio",nan,Enfermedades del oÃ­do y de la apÃ³fisis mastoides,CÃ³digos para propÃ³sitos especiales
2016-02-22,84,0,20,75,13,5,11,12,14,22,5,7,1,2,1,3,0,3,1,0,0,0
2016-02-23,71,0,25,63,5,1,15,8,21,13,2,6,1,2,1,3,0,3,0,0,0,0
2016-02-24,74,0,33,69,8,9,17,11,26,15,4,13,1,1,1,2,0,0,0,0,0,0
2016-02-25,60,0,21,67,10,3,14,5,22,17,4,15,0,0,0,4,0,2,0,0,0,0
2016-02-26,70,0,23,60,8,4,13,5,26,13,6,4,2,2,1,1,0,1,0,0,0,0
2016-02-27,76,0,19,65,10,5,11,11,22,21,8,9,3,5,0,3,0,0,0,0,0,0
2016-02-28,71,0,19,68,11,5,12,5,19,23,7,8,1,3,1,4,0,2,0,0,0,0
2016-02-29,55,0,18,64,16,4,8,8,21,21,2,5,1,1,1,3,0,4,0,0,0,0
2016-03-01,81,0,24,72,15,5,15,4,22,20,9,5,1,3,0,4,0,1,1,0,0,0
2016-03-02,58,0,19,69,12,4,8,6,21,26,2,7,2,2,2,1,0,2,0,0,0,0
2016-03-03,67,0,15,81,9,5,9,6,26,9,5,12,0,0,2,0,0,1,1,0,0,0
2016-03-04,67,0,15,68,6,5,15,6,23,16,4,12,1,3,1,4,0,4,0,0,0,0
2016-03-05,64,0,17,79,10,6,17,1,29,22,10,7,0,2,2,1,0,3,0,0,0,0
2016-03-06,56,0,28,60,2,3,19,5,25,16,4,13,0,0,0,3,0,1,0,0,0,0
2016-03-07,53,0,27,63,13,4,18,6,16,17,5,14,0,1,1,3,0,1,0,0,0,0
2016-03-08,48,0,19,63,15,7,17,8,24,16,5,6,1,1,0,2,0,1,0,0,0,0
2016-03-09,69,0,26,77,14,5,18,6,15,20,2,10,3,1,0,4,0,1,0,0,0,0
2016-03-10,62,0,31,82,15,8,23,6,21,21,3,13,0,2,0,3,0,1,0,0,0,0
2016-03-11,62,0,20,87,8,3,11,6,28,18,3,6,2,1,0,2,0,1,0,0,0,0
2016-03-12,61,0,19,59,4,3,11,7,12,18,4,4,5,1,0,2,0,1,0,0,0,0
2016-03-13,59,0,32,62,9,2,16,7,23,19,5,8,0,1,1,0,0,3,1,0,0,0
2016-03-14,55,0,17,74,14,4,10,9,20,22,8,7,2,2,1,0,0,3,0,0,0,0
2016-03-15,58,0,20,81,11,4,12,9,17,27,2,6,1,1,5,0,0,4,0,0,0,0
2016-03-16,67,0,22,83,7,2,9,3,29,19,5,10,0,2,0,2,0,4,0,0,0,0
