fecha,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Enfermedades del sistema circulatorio ,Tumores [Neoplasias],Enfermedades del sistema respiratorio ,"Enfermedades endocrinas, nutricionales y metabólicas",Ciertas enfermedades infecciosas y parasitarias,Enfermedades del sistema digestivo,Causas externas de morbilidad y de mortalidad,Enfermedades del sistema genitourinario,Enfermedades del sistema nervioso central,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Trastornos mentales y del comportamiento,COVID-19,"Malformaciones congénitas, deformidades y anomalías cromosómicas",Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades del ojo y sus anexos ,Enfermedades de la piel y del tejido subcutáneo,Enfermedades del oído y de la apófisis mastoides,Ciertas afecciones originadas en el período perinatal,nan,"Embarazo, parto y puerperio",Códigos para propósitos especiales
2016-02-23,4,22,29,7,8,0,6,8,3,1,0,0,0,1,2,0,0,0,2,0,0,0
2016-02-24,3,32,24,8,4,2,13,7,8,4,0,5,0,1,0,0,1,0,0,0,0,0
2016-02-25,2,25,34,5,8,1,7,8,5,3,0,2,0,1,0,0,0,0,0,0,0,0
2016-02-26,2,31,23,5,6,0,12,10,1,3,1,2,0,1,1,0,0,0,1,0,0,0
2016-02-27,7,24,24,8,3,3,9,6,3,1,1,2,0,2,1,0,0,0,0,0,0,0
2016-02-28,1,24,25,8,5,3,5,3,3,2,1,3,0,1,2,0,0,0,1,0,0,0
2016-02-29,0,29,27,9,3,0,5,8,4,5,0,0,0,2,1,0,1,0,1,0,0,0
2016-03-01,4,25,27,7,4,3,10,15,3,6,0,2,0,1,1,0,0,0,0,0,1,0
2016-03-02,0,24,28,11,0,0,10,12,4,8,1,3,0,0,0,0,1,0,2,0,0,0
2016-03-03,3,24,35,1,1,2,9,7,4,3,0,2,0,0,0,0,1,0,0,0,1,0
2016-03-04,1,25,21,7,6,2,7,6,4,4,0,2,0,3,3,0,0,0,4,0,0,0
2016-03-05,0,25,26,5,6,2,12,8,0,4,0,2,0,1,1,0,1,0,0,0,0,0
2016-03-06,2,18,22,3,8,2,8,7,6,1,0,1,0,0,0,0,0,0,0,0,0,0
2016-03-07,1,28,25,8,6,3,3,11,4,7,0,2,0,2,0,0,0,0,1,0,0,0
2016-03-08,3,20,20,3,8,1,7,8,2,4,1,3,0,1,0,0,0,0,0,0,0,0
2016-03-09,0,30,27,12,10,1,4,7,5,6,1,3,0,1,0,0,0,0,0,0,0,0
2016-03-10,3,28,28,9,8,1,8,11,6,8,0,4,0,1,2,0,0,0,0,0,0,0
2016-03-11,1,25,37,6,5,0,12,3,3,3,0,1,0,2,0,0,0,0,0,0,0,0
2016-03-12,2,15,25,7,2,0,4,9,2,2,1,2,0,1,1,0,0,0,0,0,0,0
2016-03-13,2,27,15,8,7,0,5,14,3,5,0,0,0,0,1,0,0,0,1,0,0,0
2016-03-14,2,20,23,10,2,3,5,6,2,6,1,4,0,0,1,0,0,0,0,0,0,0
2016-03-15,3,25,29,11,5,2,8,3,3,4,0,1,0,0,0,0,2,0,3,0,0,0
2016-03-16,1,28,37,8,5,2,11,4,3,4,0,0,0,0,1,0,0,0,3,0,0,0
2016-03-17,5,19,28,8,8,3,9,7,0,6,0,2,0,2,0,0,0,0,2,0,0,0
2016-03-18,1,26,21,6,6,0,8,5,1,4,0,2,0,1,1,0,0,0,0,0,0,0
2016-03-19,1,23,22,5,2,3,10,3,2,4,0,1,0,0,0,0,0,0,0,0,0,0
2016-03-20,1,32,30,3,8,4,4,6,5,3,1,3,0,1,1,0,0,0,0,0,0,0
2016-03-21,2,19,22,7,7,1,7,6,1,3,0,3,0,2,0,0,0,0,0,0,0,0
2016-03-22,0,34,25,8,6,1,5,11,2,2,1,4,0,3,1,0,1,0,0,0,0,0
2016-03-23,2,24,29,6,4,3,5,6,4,3,0,3,0,3,1,0,1,0,2,0,0,0
2016-03-24,2,27,31,2,2,3,12,2,2,4,0,2,0,1,0,0,1,0,0,0,0,0
2016-03-25,3,29,23,10,3,2,7,10,2,6,1,0,0,1,0,0,0,0,0,0,0,0
2016-03-26,3,21,31,9,4,1,6,7,0,4,2,3,0,0,0,0,0,0,0,0,1,0
2016-03-27,2,27,29,8,6,2,4,5,3,5,1,1,0,0,0,0,0,0,2,0,0,0
2016-03-28,4,29,30,8,5,4,6,6,3,4,0,0,0,1,1,0,0,0,2,0,0,0
2016-03-29,2,27,32,14,6,4,7,6,3,0,0,0,0,2,0,0,0,0,0,0,0,0
2016-03-30,1,18,24,10,6,1,10,2,3,4,1,2,0,4,2,0,0,0,0,0,0,0
2016-03-31,0,31,16,8,6,3,3,6,4,3,0,1,0,3,1,0,0,0,0,0,0,0
2016-04-01,5,15,26,6,5,2,7,6,3,1,0,3,0,0,0,0,1,0,2,0,0,0
2016-04-02,2,30,28,12,6,1,4,7,1,2,0,2,0,0,1,0,1,0,2,0,0,0
2016-04-03,1,29,21,13,5,2,8,7,4,4,0,0,0,2,0,0,1,0,0,0,0,0
2016-04-04,3,22,21,14,7,3,10,2,3,4,1,3,0,2,1,0,0,0,1,0,1,0
2016-04-05,0,19,27,6,4,3,9,7,1,2,1,1,0,0,0,0,0,0,1,0,0,0
2016-04-06,5,28,21,12,4,3,7,5,2,0,1,1,0,1,0,0,0,0,3,0,0,0
2016-04-07,6,29,29,8,4,1,8,5,2,2,1,2,0,1,0,0,0,0,0,0,0,0
2016-04-08,0,30,36,9,9,2,5,6,2,2,0,2,0,2,1,0,0,0,0,0,0,0
2016-04-09,3,24,16,9,5,5,12,6,2,5,0,1,0,1,1,0,1,0,0,0,0,0
2016-04-10,2,23,25,8,8,3,8,6,7,4,0,1,0,0,1,0,1,0,0,0,0,0
2016-04-11,6,42,26,7,3,1,10,5,3,3,1,0,0,1,1,0,0,0,1,0,0,0
2016-04-12,0,30,34,7,6,2,13,5,8,2,0,1,0,0,1,0,0,0,1,0,0,0
2016-04-13,6,25,37,6,5,0,6,4,5,1,0,1,0,2,1,0,0,0,1,0,0,0
2016-04-14,4,27,25,7,6,3,9,5,2,1,0,1,0,3,0,0,0,0,1,0,0,0
2016-04-15,1,24,29,13,3,4,13,4,3,4,1,1,0,3,2,0,0,0,0,0,0,0
2016-04-16,4,45,31,17,5,1,7,6,5,2,1,2,0,2,1,0,0,0,1,0,0,0
2016-04-17,4,32,38,4,6,2,10,6,3,3,0,1,0,1,1,0,1,0,1,0,0,0
2016-04-18,4,37,23,8,9,3,4,12,4,3,1,3,0,1,0,0,0,0,1,0,0,0
2016-04-19,2,27,34,12,8,1,6,4,2,4,0,2,0,1,2,0,0,0,0,0,0,0
2016-04-20,4,31,25,7,3,0,7,6,0,4,0,4,0,1,0,0,1,0,0,0,0,0
2016-04-21,5,37,25,10,2,2,5,2,4,7,0,3,0,2,0,0,0,0,2,0,0,0
2016-04-22,4,33,27,13,5,1,10,4,7,4,2,0,0,2,2,0,1,0,1,0,0,0
2016-04-23,1,25,25,13,7,1,5,7,5,2,0,3,0,4,0,0,0,0,1,0,0,0
2016-04-24,2,32,21,7,6,4,8,8,2,4,3,0,0,0,0,0,2,0,1,0,0,0
2016-04-25,1,40,29,20,7,2,8,8,3,2,0,3,0,2,0,0,1,0,0,0,0,0
2016-04-26,1,42,31,15,5,1,9,8,1,1,2,4,0,2,0,0,2,0,3,0,0,0
2016-04-27,1,28,25,12,5,3,9,7,1,2,0,4,0,1,0,0,3,0,1,0,0,0
2016-04-28,2,21,38,12,6,2,9,5,2,4,1,0,0,1,0,0,0,0,1,0,1,0
2016-04-29,2,40,38,9,8,3,10,7,4,2,1,4,0,1,1,0,0,0,1,0,0,0
2016-04-30,3,38,26,15,8,3,14,8,4,3,0,1,0,1,0,0,0,0,1,0,0,0
2016-05-01,3,36,38,11,2,4,8,4,2,9,0,2,0,0,1,1,2,0,1,0,0,0
2016-05-02,2,25,32,15,6,2,5,8,3,3,1,7,0,1,2,0,1,0,2,0,0,0
2016-05-03,7,34,27,9,2,2,11,10,4,5,1,3,0,1,0,0,0,0,2,0,0,0
2016-05-04,0,34,32,6,3,1,9,4,3,3,1,4,0,0,0,0,1,0,1,0,0,0
2016-05-05,5,26,24,10,7,3,7,4,2,3,0,3,0,4,1,0,1,0,2,0,0,0
